"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Trusts and Estates","733
001","115","1.131","10.4","4.3","7.8",".","1.7","2.6",".","23.5",".",".",".",".",".",".",".","."
"Secured Transactions","736
001","58","2.222","20.7","6.9","20.7",".","1.7",".","1.7","20.7",".",".",".",".",".",".",".","1.7"
"","740
001","60","1.702","20.0",".","11.7","3.3","5.0",".",".","21.7",".",".",".",".",".",".",".","."
"","740
002","41","1.351","17.1","4.9","12.2",".",".",".",".","9.8",".",".",".",".",".",".",".","."
"Constitutional Law II","Course Total","101","1.522","18.8","2.0","11.9","2.0","3.0",".",".","16.8",".",".",".",".",".",".",".","."
"","741
001","73","2.403","31.5","8.2","26.0",".","1.4","1.4",".",".",".",".",".",".",".",".",".","1.4"
"","741
002","17","3.500","58.8","17.6","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bus Orgnztions II:Publ Corp","Course Total","90","2.612","36.7","10.0","24.4",".","1.1","1.1",".",".",".",".",".",".",".",".",".","1.1"
"","743
001","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743
002","16","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","Course Total","28","3.732","60.7","25.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Administrative Law","744
001","49","2.462","30.6","12.2","10.2",".",".",".",".","20.4",".",".",".",".",".",".",".","."
"Labor Relations Law","745
001","13","3.208","53.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"Legislation","746
001","38","2.180","21.1","5.3","10.5","2.6",".","2.6",".","34.2",".",".",".",".",".",".",".","."
"Protective Labor Legislatn","747
001","9","3.000","66.7",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Trademarks","749
001","34","2.172","20.6","8.8","26.5",".","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"Patent Law","751
001","24","2.825","37.5","4.2","20.8",".","4.2",".",".","16.7",".",".",".",".",".",".",".","."
"Copyright Law","752
001","27","3.019","40.7","14.8","25.9","3.7",".",".","3.7",".",".",".",".",".",".",".",".","."
"Equal Employment Law","765
001","26","3.273","50.0","3.8","15.4","3.8","3.8",".",".","15.4",".",".",".",".",".",".",".","."
"","801
001","84","1.657","11.9","2.4","27.4",".",".",".",".","15.5",".",".",".",".",".",".",".","1.2"
"","801
002","44","1.684","18.2",".","18.2","4.5","2.3","2.3","2.3","13.6",".",".",".",".",".",".",".","."
"Evidence","Course Total","128","1.667","14.1","1.6","24.2","1.6","0.8","0.8","0.8","14.8",".",".",".",".",".",".",".","0.8"
"","802
001","51","2.755","35.3","17.6","21.6",".","2.0","2.0","2.0",".",".",".",".",".",".",".",".","."
"","802
002","28","2.281","25.0","3.6","3.6",".",".","3.6",".","42.9",".",".",".",".",".",".",".","."
"","802
003","58","2.671","29.3","3.4","15.5","1.7","3.4","1.7",".","29.3",".",".",".",".",".",".",".","."
"","802
004","68","1.000","2.9",".","26.5",".","4.4",".",".",".",".",".",".",".",".",".",".","."
"Civil Procedure II","Course Total","205","2.014","21.5","5.9","19.0","0.5","2.9","1.5","0.5","14.1",".",".",".",".",".",".",".","."
"","808
001","8","1.000","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
002","7","2.333","14.3",".","14.3",".",".",".",".","42.9",".",".",".",".",".",".",".","14.3"
"","808
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","808
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Legal Writing","Course Total","24","1.525","25.0","4.2","4.2",".",".",".",".","12.5",".",".",".",".",".",".",".","4.2"
"","815
001","32","4.000","6.3",".",".",".",".",".",".","93.8",".",".",".",".",".",".",".","."
"","815
002","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
003","8","4.000","12.5",".",".",".",".",".",".","87.5",".",".",".",".",".",".",".","."
"","815
004","8","2.000","12.5",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","."
"Appellate Advocacy II","Course Total","66","3.385","6.1",".",".",".",".",".",".","92.4",".",".",".",".",".",".",".","."
"","817
001","76","2.213","31.6","3.9","18.4",".","1.3",".",".","10.5",".",".",".",".",".",".",".","."
"","817
002","47","2.250","21.3","4.3","19.1","2.1",".",".",".","27.7",".",".",".",".",".",".",".","."
"Business Organizations I","Course Total","123","2.225","27.6","4.1","18.7","0.8","0.8",".",".","17.1",".",".",".",".",".",".",".","."
"Bankruptcy Law","821
001","28","2.667","25.0","7.1","21.4",".","3.6","3.6",".","25.0",".",".",".",".",".",".",".","."
"Family Law I","822
001","28","1.982","32.1","10.7","10.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Law II","823
001","31","3.444","45.2","16.1","16.1","3.2","3.2",".",".","12.9",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 326 of 403",""
