"WILDLIFE ECOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"960
WL ECOL","","","","","","","","","","","","","","","","","","","",""
"299","007","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"301
Terr Vertbrt:Life Hist&Ecol","001","","43","2.667","16.3","18.6","23.3","9.3","11.6","14.0","4.7",".",".",".",".",".",".","2.3",".","."
"335
Hum/An Relatn:Bio&Phils Iss","001","","32","2.813","12.5","9.4","40.6","15.6","15.6","6.3",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","12","3.324","33.3","8.3","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"379
Princ-Wildlife Management","001","","54","3.245","38.9","20.4","11.1","16.7","7.4","1.9","1.9",".",".",".",".",".",".","1.9",".","."
"515
Renewable Resources Policy","001","","8","3.438","37.5","12.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"599
Wildlife Research Capstone","001","","23","3.304","17.4","39.1","34.8","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","25","3.354","48.0","16.0","16.0","4.0","8.0",".","4.0",".",".",".",".",".","4.0",".",".","."
"651
Conservation Biology","001","","10","3.250","60.0","10.0","10.0",".","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"655
Animal Population Dynamics","001","","29","3.172",".","55.2","31.0","6.9","6.9",".",".",".",".",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","3","***","","","","","","","","","","","","","","","",""
"961
Seminar","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","15","",".",".",".",".",".",".",".","86.7",".",".",".",".",".",".","13.3","."
