"AGRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"132
AGRONOMY","","","","","","","","","","","","","","","","","","","",""
"299","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"300
Cropping Systems","001","","13","3.385","61.5",".","23.1",".","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"326
Plant Nutrition Management","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"334
Nutrnt Mgmt:Agronomic Crops","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"338
Plant Breeding&Biotechnolgy","001","","19","2.605","21.1",".","31.6","15.8","21.1",".","10.5",".",".",".",".",".",".",".",".","."
"350
World Hunger & Malnutrition","001","","11","3.750","45.5","45.5",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"375","002","","6","3.688","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","8","3.700","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"377
Cropping Systems-Tropics","001","","21","3.350","23.8","33.3","28.6","4.8","4.8",".",".",".",".",".",".",".",".","4.8",".","."
"500
Senior Capstone Experience","001","","7","3.800","57.1",".","14.3",".",".",".",".",".",".",".",".",".","28.6",".",".","."
"501
Principles-Plant Breeding","001","","6","3.500","66.7",".",".","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"502
Techniques-Plant Breeding","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"565
Ethics of Modern Biotechnology","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"771
Experimental Designs","001","","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"772
Applications in ANOVA","001","","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","9","3.556","44.4","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","23","",".",".",".",".",".",".",".","91.3",".",".",".","8.7",".",".",".","."
