"EGR","","","","","","","","","","","","","","","","","","","",""
"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"M E
612","Dept. Total","2413","3.185","31.9","19.3","19.4","10.9","7.5","2.5","0.8","5.2","0.0",".","",".","2.1","0.2","0.0",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","41","3.117","24.4","26.8","19.5","22.0","2.4","2.4","2.4",".",".",".","",".",".",".",".",".","."
"Sophomore","","197","3.118","25.4","26.9","25.9","13.2","4.1","3.6","1.0",".",".",".","",".",".",".",".",".","."
"Junior","","488","3.016","29.7","17.0","21.7","16.0","10.9","3.5","1.0",".",".",".","",".",".",".",".",".","0.2"
"Senior","","1164","3.121","28.4","22.6","22.8","12.4","10.1","2.9","0.7","0.1",".",".","",".",".",".",".",".","0.1"
"Undergraduates","","1890","3.095","28.4","21.7","22.8","13.6","9.5","3.1","0.8","0.1",".",".","",".",".",".",".",".","0.1"
"Special","","29","3.438","48.3","13.8","10.3","3.4","6.9",".","3.4",".",".",".","",".",".","10.3","3.4",".","."
"Graduate","","494","3.715","44.3","10.5","7.3","0.8","0.2","0.2","0.4","25.1","0.2",".","",".","10.3","0.6",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","2414","3.185","31.9","19.3","19.4","10.9","7.5","2.5","0.8","5.2","0.0",".","",".","2.1","0.2","0.0",".","0.1"
