"PATHOLOGY AND LABORATOR","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","",""
"399
Independent Study","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"404
Pathophys Princ-Hum Disease","001","","338","3.211","23.7","31.4","20.4","16.0","5.9","1.8","0.3","0.3",".",".",".",".","0.3",".",".","."
"651
Quality Assurance Basics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"652
Quality Assurance Projects","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"653
Method Validation Basics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"654
Method Validation Projects","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"657
Quality Planning Basics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"658
Quality Planning Projects","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","3.941","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"704
Pathology of Organ Systems","001","","159","3.929","85.5","11.3","1.3",".",".",".",".","0.6",".",".",".",".","1.3",".",".","."
"709
Topics-Cell Struct & Functn","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"750
Cellulr & Moleclr Biol/Path","001","","45","3.367","28.9","24.4","37.8","8.9",".",".",".",".",".",".",".",".",".",".",".","."
"901
Student Seminar / Journal Club","001","","27","",".",".",".",".",".",".",".",".",".","96.3","3.7",".",".",".",".","."
"920","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"General Pathology Clerk-CSC","Course Total","","8","3.950","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"926
Pathol:Cl Microbiol-Marshfl","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 358 of 403",""
