"MILITARY SCIENCE","Section","#","Ave","A","AB","B","BC","","C","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"644
MIL SCI","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","102
001","13","3.615","53.8","30.8","7.7",".","","7.7",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"","102
002","17","3.971","94.1","5.9",".",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"","102
003","25","3.940","88.0","12.0",".",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"","102
004","20","3.775","65.0","25.0","10.0",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Basic Leadership","Course Total","75","3.847","77.3","17.3","4.0","",".","1.3","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Leadership Lab 1B","111
111","10","4.000","100.0",".",".",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Orienteering","194
001","8","3.500","87.5",".",".",".","",".",".","","12.5",".","",".","",".",".","",".","",".","",".",".","."
"","202
001","31","3.887","77.4","22.6",".",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"","202
002","25","3.980","96.0","4.0",".",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"","202
003","20","3.800","65.0","30.0","5.0",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Leadership and Teamwork","Course Total","76","3.895","80.3","18.4","1.3","",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Leadership Lab 2B","211
211","14","4.000","100.0",".",".",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Leadership and Ethics","302
001","13","3.792","69.2","7.7","15.4",".","",".",".","",".",".","",".","",".",".","",".","",".","",".","7.7","."
"Leadership Lab 3B","311
001","9","4.000","100.0",".",".",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Officership","402
001","14","4.000","100.0",".",".",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Leadership Lab 4B","411
001","11","4.000","100.0",".",".",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"American Military History","491
001","4","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"MIL SCI
644","Dept. Total","234","3.894","84.2","12.0","2.6","",".","0.4","",".","0.4","",".","",".",".","",".","",".","",".",".","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"644
MIL SCI","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","63","3.768","68.3","25.4","3.2","",".","1.6","",".","1.6","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","85","3.927","87.1","11.8","1.2","",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","34","3.939","94.1","2.9","2.9","",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","46","3.948","93.5",".","4.3","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","2.2","."
"Undergraduates","","228","3.893","84.2","11.8","2.6","",".","0.4","",".","0.4","",".","",".",".","",".","",".","",".",".","0.4","."
"Special","","4","3.857","75.0","25.0",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","2","4.000","100.0",".",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","2","4.000","100.0",".",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","234","3.894","84.2","12.0","2.6","",".","0.4","",".","0.4","",".","",".",".","",".","",".","",".",".","0.4","."
