"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"PHM","","","","","","","","","","","","","","","","","","","","",""
"PHM","College Total","2718","3.551","55.4","18.2","15.6","5.2","2.5","0.3","0.1","2.4","",".",".",".","",".","0.1",".","0.1","0.0"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"PHM","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","3.250","50.0",".",".","50.0",".",".",".",".","",".",".",".","",".",".",".",".","."
"Sophomore","","5","3.250","20.0",".","60.0",".",".",".",".",".","",".",".",".","",".",".",".","20.0","."
"Junior","","15","3.402","60.0","6.7","20.0","6.7","6.7",".",".",".","",".",".",".","",".",".",".",".","."
"Senior","","91","3.453","53.8","14.3","20.9","5.5","4.4","1.1",".",".","",".",".",".","",".",".",".",".","."
"Undergraduates","","113","3.435","53.1","12.4","22.1","6.2","4.4","0.9",".",".","",".",".",".","",".",".",".","0.9","."
"Special","","2","3.500",".","50.0",".",".",".",".",".","50.0","",".",".",".","",".",".",".",".","."
"Graduate","","187","3.877","57.8","4.3","2.7",".",".",".",".","34.2","",".",".",".","",".","1.1",".",".","."
"Prof Yr 1","","457","3.097","49.9","10.7","17.9","14.4","5.0","1.5","0.2",".","",".",".",".","",".",".",".","0.2","."
"Prof Yr 2","","866","3.524","51.6","22.3","20.4","2.7","2.8","0.1",".",".","",".",".",".","",".","0.1",".",".","."
"Prof Yr 3","","833","3.520","55.0","23.6","14.8","4.9","1.3",".","0.1","0.1","",".",".",".","",".",".",".","0.1","."
"Prof Yr 4","","260","3.840","79.2","13.1","4.6","1.2","1.5",".",".",".","",".",".",".","",".",".",".",".","0.4"
"Professionals","","2416","3.547","55.4","19.6","16.3","5.5","2.6","0.3","0.1","0.0","",".",".",".","",".","0.0",".","0.1","0.0"
"","College Total","2718","3.551","55.4","18.2","15.6","5.2","2.5","0.3","0.1","2.4","",".",".",".","",".","0.1",".","0.1","0.0"
