"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"Clin Chem-Newborn-StateLab","Course Total","","2","***","","","","","","","","","","","","","","","",""
"915","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"915","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"915","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","007","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"915","008","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"915","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"915","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundmtls Interntl Hlth-MSC","Course Total","","32","3.813","81.3","6.3","9.4",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"916
Diseas&Injry Epidem-DivHlth","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","33","",".",".",".",".",".",".",".","93.9",".",".",".","6.1",".",".",".","."
