"","699
014","1","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"","699
015","1","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"","699
016","1","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"Directed Studies","Course Total","16","3.976","93.8","6.3",".",".",".",".",".",".","",".",".",".","",".","",".",".",".","."
"BIOLOGY
205","Dept. Total","730","2.942","19.9","12.1","30.1","6.2","15.5","3.8","2.2","0.1","",".","9.3","0.5","",".","",".","0.1",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","130","2.327","6.9","5.4","15.4","10.0","24.6","3.8","6.2",".","",".","24.6","2.3","",".","",".",".",".","0.8"
"Sophomore","","302","2.913","15.2","12.3","33.8","7.0","16.2","3.6","1.3",".","",".","10.3","0.3","",".","",".",".",".","."
"Junior","","223","3.115","25.6","16.1","37.2","3.6","11.2","2.7","1.8",".","",".","1.8",".","",".","",".",".",".","."
"Senior","","63","3.295","46.0","12.7","19.0","4.8","6.3","7.9",".","1.6","",".",".",".","",".","",".","1.6",".","."
"Undergraduates","","718","2.943","19.6","12.3","30.2","6.3","15.3","3.8","2.2","0.1","",".","9.3","0.6","",".","",".","0.1",".","0.1"
"Special","","10","2.789","30.0",".","20.0",".","30.0","10.0",".",".","",".","10.0",".","",".","",".",".",".","."
"Graduate","","2","3.286","50.0",".","50.0",".",".",".",".",".","",".",".",".","",".","",".",".",".","."
"","Dept. Total","730","2.942","19.9","12.1","30.1","6.2","15.5","3.8","2.2","0.1","",".","9.3","0.5","",".","",".","0.1",".","0.1"
