"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"","151
001","13","3.808","76.9","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","151
002","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Info Resources","Course Total","22","3.841","77.3","18.2",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","155
001","19","3.789","68.4","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
002","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
003","16","3.250","31.3","18.8","31.3","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","004
155","15","3.000","6.7","33.3","26.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".","."
"","155
005","17","3.029","11.8","41.2","23.5","11.8","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","155
006","19","2.842","10.5","21.1","31.6","21.1","5.3","10.5",".",".",".",".",".",".",".",".",".","."
"","155
007","18","3.611","38.9","44.4","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
008","15","3.100","26.7","20.0","33.3","13.3",".",".","6.7",".",".",".",".",".",".",".",".","."
"","155
009","9","3.611","44.4","44.4",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Communication","Course Total","147","3.347","35.4","29.3","19.7","8.8","4.1","1.4","1.4",".",".",".",".",".",".",".",".","."
"Freshman Independent Study","199
017","59","4.000","18.6",".",".",".",".",".",".","79.7",".",".",".",".",".","1.7",".","."
"Teams & Engr Profession","265
001","7","3.571","57.1",".","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
001","14","3.615","35.7","42.9","14.3",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","002
275","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
003","14","3.679","42.9","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
004","14","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","58","3.711","51.7","36.2","10.3",".",".",".",".","1.7",".",".",".",".",".",".",".","."
"","306
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","306
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Chinese Conversatn II","Course Total","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","332
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","332
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Technical Japanese II","Course Total","3","***","","","","","","","","","","","","","","","",""
"","375
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Tech Japanese II","Course Total","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"User Manuals/Software Docmt","392
001","8","3.438","75.0","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"","397
001","21","3.350","28.6","23.8","33.3","4.8","4.8",".",".",".",".",".",".",".","4.8",".",".","."
"","397
002","21","3.238","9.5","42.9","33.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","397
003","20","3.425","25.0","45.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","397
004","22","3.455","40.9","13.6","40.9","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","397
005","20","3.600","55.0","25.0","5.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"","397
006","20","3.350","20.0","45.0","25.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","397
007","21","3.405","38.1","28.6","9.5","23.8",".",".",".",".",".",".",".",".",".",".",".","."
"","397
008","20","3.325","20.0","55.0","20.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","397
009","22","3.705","54.5","31.8","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
010","21","3.643","38.1","52.4","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
012","19","3.158","15.8","21.1","47.4","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","397
013","22","3.364","22.7","36.4","31.8","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","397
014","21","3.524","33.3","38.1","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
015","22","3.341","18.2","45.5","27.3","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 121 of 403",""
