"WOMENS STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
WOMEN ST","","","","","","","","","","","","","","","","","","","",""
"Women, Culture & Representn","101","001","102","3.163","10.8","41.2","29.4","10.8","4.9","1.0","1.0","1.0",".",".",".",".",".",".",".","."
"Women-Soc Inst & Soc Change","102","001","148","3.194","10.1","33.8","43.2","10.1","1.4","0.7",".","0.7",".",".",".",".",".",".",".","."
"Womens Bodies-Hlth&Disease","103","001","401","3.569","46.9","30.9","11.0","5.0","2.7","0.5","0.2","2.7",".",".",".",".",".",".",".","."
"Intro Les, Gay, Bi, Trnsgen St","200","001","107","3.316","33.6","29.9","17.8","8.4","1.9","1.9","2.8","1.9",".",".",".",".","0.9","0.9",".","."
"Gender & Work-Rural America","215","001","19","2.579","15.8","15.8","26.3","15.8","5.3","10.5","10.5",".",".",".",".",".",".",".",".","."
"Intro-Black Women Writers","222","001","22","3.159","22.7","27.3","27.3","13.6","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"Race & Ethnicity-U.S. Women","223","001","41","3.854","78.0","17.1","2.4","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"German Women Writers-Tran","270","001","17","3.441","52.9",".","35.3","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","299","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","125","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Topics - Women & Humanities","310","001","40","3.400","37.5","20.0","22.5",".","5.0",".","2.5","2.5",".",".",".",".","5.0","5.0",".","."
"Black Women in America","324","001","13","3.292","38.5","7.7","30.8",".","15.4",".",".",".",".",".",".",".",".","7.7",".","."
"Topics in LGBTQ Sexuality","340","001","32","3.828","71.9","21.9","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women in History","392","001","37","3.206","18.9","24.3","45.9","2.7","2.7","2.7",".","2.7",".",".",".",".",".",".",".","."
"Contemp Fem Theatre&Critcsm","415","001","24","3.818","58.3","33.3",".",".",".",".",".","4.2",".",".",".",".",".",".","4.2","."
"Women:Cross-Soc Perspective","420","001","39","3.769","64.1","28.2","5.1","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Constructns-Gender in Media","421","001","33","3.394","36.4","36.4","21.2",".",".","3.0","3.0",".",".",".",".",".",".",".",".","."
"Childbirth in the US","431","001","33","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"American Indian Women","437","001","14","3.357","50.0","21.4","14.3","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"Contemp Feminist Theories","441","001","34","3.561","41.2","29.4","23.5","2.9",".",".",".",".",".",".",".",".",".","2.9",".","."
"Brazillian Women Writers","450","001","12","3.458","41.7","25.0","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Sexuality,Modernity&Soc Change","519","001","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Women & Health","533","001","38","3.816","76.3","15.8","2.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Asian Amer Women Writers","595","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","640","001","9","3.071","33.3","11.1","22.2",".",".",".","11.1",".",".",".",".",".","22.2",".",".","."
"","640","002","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Smr in Women's St","","Course Total","21","3.526","47.6","28.6","9.5",".",".",".","4.8",".",".",".",".",".","9.5",".",".","."
"Internship-Women's Studies","660","001","12","3.591","41.7","25.0","25.0",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Senior Honors Thesis I","681","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","121","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","125","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","16","3.906","87.5","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Hlth-Women Across Lifespan","735","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Women and Mental Health","820","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research","999","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 317 of 403",""
