"","E ASIAN LANGUAGES & LITERA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","",""
"Second Semester Chinese","102","001","112","3.500","50.0","25.9","10.7","3.6","4.5",".","2.7","1.8",".",".",".",".",".",".","0.9","."
"Second Semester Japanese","104","001","105","3.112","23.8","23.8","20.0","19.0","7.6","3.8",".","1.0",".",".",".",".",".",".","1.0","."
"Elementary Korean","106","001","24","3.771","62.5","29.2","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","121","001","14","3.833","42.9","21.4",".",".",".",".",".","35.7",".",".",".",".",".",".",".","."
"","121","002","15","3.577","40.0","26.7","13.3","6.7",".",".",".","13.3",".",".",".",".",".",".",".","."
"","121","003","22","3.690","54.5","31.8","4.5",".","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"Elementary Chinese","","Course Total","51","3.686","47.1","27.5","5.9","2.0","2.0",".",".","15.7",".",".",".",".",".",".",".","."
"","123","001","23","3.652","69.6","17.4","4.3",".","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"","123","002","24","3.563","50.0","37.5","4.2",".","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"Elementary Japanese","","Course Total","47","3.606","59.6","27.7","4.3",".","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Chinese","202","001","26","3.625","50.0","23.1","15.4",".","3.8",".",".","7.7",".",".",".",".",".",".",".","."
"Fourth Semester Japanese","204","001","45","3.227","22.2","28.9","28.9","11.1","4.4","2.2",".","2.2",".",".",".",".",".",".",".","."
"Genres-Asian Religious Writing","235","001","39","3.372","43.6","20.5","23.1","7.7",".","2.6","2.6",".",".",".",".",".",".",".",".","."
"Intro-Japanese Culture&Civ","253","001","25","3.180","8.0","36.0","44.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","299","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","300","001","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","002","10","3.389","40.0","30.0",".",".","20.0",".",".","10.0",".",".",".",".",".",".",".","."
"","300","003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Humanities Topics in EAS","","Course Total","22","3.524","45.5","27.3","13.6",".","9.1",".",".","4.5",".",".",".",".",".",".",".","."
"Sixth Semester Chinese","302","001","27","3.827","70.4","18.5","7.4",".",".",".",".",".",".",".",".",".",".",".","3.7","."
"Sixth Semester Japanese","304","001","23","3.283","21.7","30.4","34.8","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Chinese","318","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Japanese","320","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Yr Classical Chinese","322","001","21","3.425","33.3","33.3","9.5","19.0",".",".",".","4.8",".",".",".",".",".",".",".","."
"Elementary Korean","326","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Classic Chinese-Non-Majors","342","001","15","3.633","53.3","20.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Korean","346","001","8","3.600","50.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Korean","348","001","14","3.893","92.9",".",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Chinese Literature","352","001","18","3.676","50.0","33.3","5.6","5.6",".",".",".","5.6",".",".",".",".",".",".",".","."
"Survey-Japanese Literature","354","001","22","3.341","18.2","45.5","27.3","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Buddhism","364","001","55","3.664","54.5","38.2","1.8","3.6",".",".","1.8",".",".",".",".",".",".",".",".","."
"Topics-Chinese Literature","371","001","16","3.585","50.0","31.3","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Eighth Semester Chinese","402","001","12","3.821","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eighth Semester Japanese","404","001","22","2.977","4.5","36.4","31.8","13.6","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"Eighth Semester Korean","406","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Chinese Ling","432","001","19","3.831","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Japanese Linguistics","434","001","12","3.417","25.0","33.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"History-Chinese Literature","652","001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Studies in Chinese Fiction","672","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 194 of 403",""
