"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"","103
001","183","2.956","20.8","19.7","18.6","20.8","16.9","2.2","1.1",".",".",".",".",".",".",".",".","."
"","103
002","204","2.985","23.0","18.6","20.6","15.7","18.6","2.9","0.5",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","387","2.972","22.0","19.1","19.6","18.1","17.8","2.6","0.8",".",".",".",".",".",".",".",".","."
"","104
001","274","3.029","19.7","20.8","25.2","14.2","19.3","0.4",".","0.4",".",".",".",".",".",".",".","."
"","104
002","216","2.903","19.0","18.1","19.9","18.1","22.7","0.9","1.4",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","490","2.973","19.4","19.6","22.9","15.9","20.8","0.6","0.6","0.2",".",".",".",".",".",".",".","."
"Ideas of Modern Physics","107
001","61","3.328","32.8","24.6","24.6","11.5","6.6",".",".",".",".",".",".",".",".",".",".","."
"","109
001","121","2.897","12.4","13.2","42.1","10.7","19.0","2.5",".",".",".",".",".",".",".",".",".","."
"","109
002","114","3.031","13.2","20.2","45.6","12.3","6.1",".","2.6",".",".",".",".",".",".",".",".","."
"Physics in the Arts","Course Total","235","2.962","12.8","16.6","43.8","11.5","12.8","1.3","1.3",".",".",".",".",".",".",".",".","."
"Energy","115
001","58","3.586","39.7","37.9","22.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Physics","201
001","179","2.994","22.9","14.5","28.5","16.8","12.8","3.9","0.6",".",".",".",".",".",".",".",".","."
"","202
001","140","2.832","16.4","10.7","28.6","12.9","30.7","0.7",".",".",".",".",".",".",".",".",".","."
"","202
002","156","2.742","15.4","12.2","21.2","8.3","41.7","0.6",".",".",".",".",".",".",".","0.6",".","."
"General Physics","Course Total","296","2.785","15.9","11.5","24.7","10.5","36.5","0.7",".",".",".",".",".",".",".","0.3",".","."
"General Physics","207
001","152","3.159","24.3","17.8","32.9","17.8","4.6","2.0",".",".",".",".",".",".","0.7",".",".","."
"General Physics","208
001","235","2.903","22.1","14.9","18.3","23.8","13.6","5.5","0.9",".",".",".",".",".",".",".",".","0.9"
"Intro to Modern Physics","241
001","54","2.861","24.1","13.0","16.7","14.8","25.9","5.6",".",".",".",".",".",".",".",".",".","."
"Modern Physics","244
001","61","3.390","32.8","36.1","18.0","3.3","1.6","4.9",".","3.3",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","248
001","38","3.618","63.2","13.2","13.2","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Intro-Medical Physics","265
001","9","2.875",".","11.1","44.4","33.3",".",".",".","11.1",".",".",".",".",".",".",".","."
"Directed Study","299
087","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Physics Today","301
001","25","3.583","72.0","16.0",".",".",".",".","8.0",".",".",".",".",".","4.0",".",".","."
"","308
001","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","308
003","15","3.714","46.7","40.0","6.7",".",".",".",".",".",".",".",".",".",".","6.7",".","."
"","308
004","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Lab-Electromag","Course Total","38","3.811","63.2","31.6","2.6",".",".",".",".",".",".",".",".",".",".","2.6",".","."
"Mechanics","311
001","37","2.958","24.3","16.2","21.6","13.5","16.2","2.7","2.7",".",".",".",".",".",".","2.7",".","."
"Electromagnetic Fields","322
001","51","2.694","15.7","15.7","25.5","11.8","13.7","7.8","5.9","2.0",".",".",".",".",".",".",".","2.0"
"Wave Motion and Optics","325
001","33","3.273","39.4","24.2","12.1","18.2",".","3.0","3.0",".",".",".",".",".",".",".",".","."
"Acoustics for Musicians","371
001","12","3.250","33.3","33.3","25.0",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","407
001","19","3.417","21.1","57.9","15.8",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Thermal Physics","415
001","15","3.154","33.3","13.3","20.0",".","13.3","6.7",".",".",".",".",".",".",".","13.3",".","."
"Atomic and Quantum Physics","449
001","44","3.182","13.6","38.6","29.5","6.8","11.4",".",".",".",".",".",".",".",".",".",".","."
"","499
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
061","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
063","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","7","3.864","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Plasmas","525
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Quantum Mechanics","531
001","15","2.833","33.3","6.7","26.7",".","13.3","20.0",".",".",".",".",".",".",".",".",".","."
