"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"","275
001","108","3.133","23.1","23.1","33.3","0.9","13.0","2.8","0.9","1.9",".",".",".",".",".",".","0.9","."
"","275
002","114","2.963","10.5","32.5","23.7","9.6","14.0","1.8","2.6","5.3",".",".",".",".",".",".",".","."
"Consumer Finance","Course Total","222","3.047","16.7","27.9","28.4","5.4","13.5","2.3","1.8","3.6",".",".",".",".",".",".","0.5","."
"Independent Study","299
075","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mediatn:Serving Consumr Int","350
001","84","3.905","83.3","14.3","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comp Applicatns-Retailing","370
001","23","3.652","65.2","26.1","4.3",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"Hist-Consumr Movemnts in US","470
001","28","3.554","42.9","32.1","17.9","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Family Economics","475
001","43","3.512","46.5","25.6","18.6","2.3","7.0",".",".",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","477
001","90","3.228","16.7","34.4","31.1","13.3","4.4",".",".",".",".",".",".",".",".",".",".","."
"Consumer Information","478
001","15","3.633","53.3","33.3","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","501
001","28","3.481","35.7","39.3","14.3","3.6",".","3.6",".","3.6",".",".",".",".",".",".",".","."
"","501
002","53","3.953","90.6","9.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
003","67","3.866","94.0",".","1.5",".","3.0",".","1.5",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","148","3.809","81.8","10.8","3.4","0.7","1.4","0.7","0.7","0.7",".",".",".",".",".",".",".","."
"","532
001","21","3.391","19.0","42.9","33.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","532
002","68","3.948","94.1","1.5","1.5",".","1.5",".",".","1.5",".",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","Course Total","89","3.813","76.4","11.2","9.0","1.1","1.1",".",".","1.1",".",".",".",".",".",".",".","."
"International Retailing","562
001","61","3.828","85.2","8.2","3.3",".","1.6",".","1.6",".",".",".",".",".",".",".",".","."
"Seminar in Consumer Science","565
001","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Econ & Public Policy","575
001","22","3.432","40.9","18.2","31.8","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601
015","22","3.958","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Retailing","602
015","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Retailing Internship","603
015","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Consumer Behavior","657
001","68","3.154","13.2","30.9","32.4","20.6","2.9",".",".",".",".",".",".",".",".",".",".","."
"Family Financial Counseling","675
001","38","2.946","13.2","31.6","26.3","5.3","10.5","10.5",".","2.6",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
009","28","3.946","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
023","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","51","3.928","94.1","3.9","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economc Organizatn-Househld","748
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
075","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 143 of 403",""
