"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"GEN BUS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","",".",".",".",".",".",".",".",".","",".","100.0","",".","",".","",".",".",".","."
"Sophomore","15","3.667","20.0","13.3","6.7",".",".",".",".",".","",".","60.0","",".","",".","",".",".",".","."
"Junior","411","3.419","46.0","18.5","20.0","3.4","9.2","0.7","0.2",".","",".","1.9","",".","",".","",".",".",".","."
"Senior","634","3.357","38.8","22.9","19.4","7.6","9.1","0.6",".","0.5","",".","1.1","",".","",".","",".",".",".","."
"Undergraduates","1061","3.383","41.3","21.0","19.4","5.8","9.0","0.7","0.1","0.3","",".","2.4","",".","",".","",".",".",".","."
"Special","9","3.396","55.6",".","22.2","11.1","11.1",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","238","3.772","73.1","8.8","9.2","1.7","1.3","0.4",".","0.8","",".","4.6","",".","",".","",".",".",".","."
"Prof Yr 2","1","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","6","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","7","3.900","85.7",".","14.3",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
