"Research and Thesis","Course Total","26","",".",".",".",".",".",".",".","100.0","",".",".",".","",".",".",".",".","."
"","999
005","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","999
085","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"Spec Work-Ag & Appl Economics","Course Total","2","***","","","","","","","","","","","","","","","","","",""
"A A E
108","Dept. Total","566","3.136","27.0","18.6","26.3","8.8","9.2","2.5","1.2","5.1","",".",".",".","",".","0.5","0.4","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","62","2.975","16.1","14.5","43.5","9.7","9.7","3.2","1.6",".","",".",".",".","",".",".",".","1.6","."
"Sophomore","","120","3.088","24.2","15.8","33.3","15.0","8.3","2.5","0.8",".","",".",".",".","",".",".",".",".","."
"Junior","","96","3.062","18.8","27.1","32.3","8.3","7.3","5.2","1.0",".","",".",".",".","",".",".",".",".","."
"Senior","","192","3.066","28.1","18.2","22.4","9.4","14.6","1.6","2.1","1.6","",".",".",".","",".","0.5","1.0","0.5","."
"Undergraduates","","470","3.059","23.6","18.9","30.0","10.6","10.9","2.8","1.5","0.6","",".",".",".","",".","0.2","0.4","0.4","."
"Special","","5","2.625","20.0","20.0",".",".","20.0","20.0",".","20.0","",".",".",".","",".",".",".",".","."
"Graduate","","89","3.753","44.9","16.9","9.0",".",".",".",".","27.0","",".",".",".","",".","2.2",".",".","."
"Prof Yr 3","","1","",".",".",".",".",".",".",".","100.0","",".",".",".","",".",".",".",".","."
"Prof Yr 4","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"Professionals","","2","4.000","50.0",".",".",".",".",".",".","50.0","",".",".",".","",".",".",".",".","."
"","Dept. Total","566","3.136","27.0","18.6","26.3","8.8","9.2","2.5","1.2","5.1","",".",".",".","",".","0.5","0.4","0.4","."
