"PORTUGUESE (SPANISH & POR Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","",""
"","102
001","18","2.917","22.2","16.7","22.2","11.1","22.2","5.6",".",".",".",".",".",".",".",".",".","."
"","102
002","21","2.548","19.0","19.0","14.3","4.8","19.0","19.0","4.8",".",".",".",".",".",".",".",".","."
"","102
003","21","2.905","38.1","9.5","9.5","9.5","19.0","14.3",".",".",".",".",".",".",".",".",".","."
"","004
102","15","2.667","26.7",".","26.7","13.3","13.3","20.0",".",".",".",".",".",".",".",".",".","."
"2nd Semester Portuguese","Course Total","75","2.760","26.7","12.0","17.3","9.3","18.7","14.7","1.3",".",".",".",".",".",".",".",".","."
"4th Semester Portuguese","202
001","7","3.571","57.1","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Portuguese for Business","207
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"3rd Yr Conversatn & Compositn","226
001","16","3.500","50.0","18.8","12.5",".","12.5",".",".",".",".",".",".",".",".","6.3",".","."
"Intensive Portuguese","301
001","17","3.767","58.8","17.6","11.8",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"4th Yr Compositn & Conversatn","312
001","14","3.769","71.4",".","21.4",".",".",".",".",".",".",".",".",".",".","7.1",".","."
"Intro to Romance Languages","429
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Brazillian Women Writers","450
001","11","3.257","54.5","18.2",".",".","9.1",".","9.1",".",".",".",".",".",".","9.1",".","."
"Survey-Brazl Lit since 1890","468
001","8","3.357","50.0","12.5","12.5",".",".","12.5",".","12.5",".",".",".",".",".",".",".","."
"","599
000B","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
000A","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","6","3.417","50.0","16.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Topics-Portug: Study Abroad","Course Total","6","3.417","50.0","16.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Topics in Luso-Braziln Lit","640
002","9","3.780","44.4","33.3",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"Smr: Portuguese Literature","772
001","7","3.833","57.1","28.6",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Thesis","990
032","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PORTUG
782","Dept. Total","176","3.186","42.6","15.3","13.1","4.5","10.2","6.8","1.1","4.0",".",".",".",".","0.6","1.7",".","."
