"PHYSICAL EDUC ACTIVITY PRO Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"257
001
Fencing II","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"262
001","24","3.925","70.8","12.5",".",".",".",".",".","16.7",".",".",".","",".","",".",".",".","."
"002
262","16","3.500","6.3","31.3","6.3",".",".",".",".","56.3",".",".",".","",".","",".",".",".","."
"262
003","15","3.722","26.7","33.3",".",".",".",".",".","40.0",".",".",".","",".","",".",".",".","."
"Course Total
Tennis II","55","3.792","40.0","23.6","1.8",".",".",".",".","34.5",".",".","",".","",".",".",".",".","."
"270
001
Basketball II","29","3.646","41.4","31.0","6.9",".","3.4",".",".","17.2",".",".",".","",".","",".",".",".","."
"273
001
Soccer II","21","3.583","52.4","23.8","4.8",".",".",".","4.8","14.3",".",".",".","",".","",".",".",".","."
"275
001","27","3.833","51.9","11.1",".","3.7",".",".",".","33.3",".",".",".","",".","",".",".",".","."
"275
002","25","3.500","40.0","20.0","16.0","12.0",".",".",".","8.0",".",".",".","",".","",".",".",".","4.0"
"Course Total
Volleyball II","52","3.650","46.2","15.4","7.7","7.7",".",".",".","21.2",".",".","",".","",".",".",".",".","1.9"
"295
001
Bicycling","23","3.881","69.6","21.7",".",".",".",".",".","4.3",".",".",".","",".","",".","4.3",".","."
"300
001","18","3.656","38.9","38.9","11.1",".",".",".",".","11.1",".",".",".","",".","",".",".",".","."
"300
002","21","3.778","61.9","19.0",".",".","4.8",".",".","9.5",".",".",".","",".","","4.8",".",".","."
"300
003","15","3.833","80.0","13.3",".","6.7",".",".",".",".",".",".",".","",".","",".",".",".","."
"300
004","22","3.658","36.4","40.9","9.1",".",".",".",".","13.6",".",".",".","",".","",".",".",".","."
"Course Total
Workshop-Physical Activity","76","3.728","52.6","28.9","5.3","1.3","1.3",".",".","9.2",".",".","",".","",".","1.3",".",".","."
"301
001
Swim Endur&Stroke Proficncy","14","3.962","85.7","7.1",".",".",".",".",".","7.1",".",".",".","",".","",".",".",".","."
"303
001
Aquatic Conditioning","14","3.821","78.6","7.1","14.3",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"330
001
Triathlon Training","25","3.800","24.0","16.0",".",".",".",".",".","56.0",".",".",".","",".","","4.0",".",".","."
"362
001
Tennis III","15","3.727","40.0","26.7","6.7",".",".",".",".","26.7",".",".",".","",".","",".",".",".","."
"PE ACTIV
Dept. Total
740","1876","3.311","37.1","21.4","10.7","2.9","6.0","1.2","0.7","19.1","0.2",".","",".","",".","0.1","0.2","0.4","0.1"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"Freshmen","187","2.872","27.8","24.6","15.5","7.5","16.0","4.3","1.6","2.1",".",".","",".","",".",".",".","0.5","."
"Sophomore","353","3.126","36.5","24.6","14.7","4.8","8.5","2.0","1.7","6.8",".",".","",".","",".",".",".",".","0.3"
"Junior","338","3.421","42.0","22.8","9.8","2.4","5.9","0.6","0.3","15.4","0.3",".","",".","",".",".","0.3",".","0.3"
"Senior","769","3.501","41.9","20.7","8.5","1.7","3.9","0.8","0.3","22.1",".",".","",".","",".","0.1","0.1",".","."
"Undergraduates","1647","3.295","39.2","22.4","10.9","3.2","6.7","1.4","0.7","15.2","0.1",".","",".","",".","0.1","0.1","0.1","0.1"
"Special","97","3.419","9.3","9.3","7.2","1.0","1.0",".",".","63.9",".",".","",".","",".",".","1.0","7.2","."
"Graduate","98","3.659","36.7","15.3","8.2","1.0",".",".","1.0","34.7","3.1",".","",".","",".",".",".",".","."
"Prof Yr 1","2","",".",".",".",".",".",".",".","100.0",".",".","",".","",".",".",".",".","."
"Prof Yr 2","5","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 3","27","3.353","14.8","22.2","18.5",".","3.7",".",".","37.0",".",".","",".","",".","3.7",".",".","."
"Professionals","34","3.409","17.6","23.5","17.6",".","2.9",".",".","35.3",".",".","",".","",".","2.9",".",".","."
"Dept. Total","1876","3.311","37.1","21.4","10.7","2.9","6.0","1.2","0.7","19.1","0.2",".","",".","",".","0.1","0.2","0.4","0.1"
