"BIOLOGICAL SYSTEMS ENGINE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","","",""
"Operatng&Mgmt Off-Road Vehicle","243","001","","14","3.179","28.6","35.7","7.1","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"Independent Study","299","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sustainabl Residntl Constructn","356","001","","12","3.591","50.0","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".","8.3",".","."
"Measrmt&Instrumntn-Biol Sys","365","001","","18","2.278",".","11.1","16.7","22.2","38.9","5.6","5.6",".",".",".",".",".",".",".",".","."
"Special Topics","375","001","","14","3.357","28.6","35.7","14.3","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"Rheology of Foods&Biomaterials","441","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Sedmnt & Bio-Nutr Engr&Mgmt","472","001","","14","3.143","28.6","21.4","28.6","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"Engr Princpl Off-Road Vehicles","476","001","","7","2.929",".","14.3","71.4",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Food Engineering Operations","542","001","","12","3.333","25.0","33.3","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Small Watershed Engineering","571","001","","10","3.250","10.0","30.0","30.0","10.0",".",".",".","20.0",".",".",".",".",".",".",".","."
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Graduate Research Seminar","901","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","6","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"","990","018","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","21","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
