"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"250
Intro to Modern Materials","001","","19","3.553","68.4","5.3","21.1",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"330
Thermodynamics of Materials","001","","21","3.214","9.5","52.4","33.3",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"331
Transport Phenom-Materials","001","","15","3.133","13.3","33.3","26.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"333
Microprocessing-Materials","001","","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"350
Intro to Materials Science","001","","120","3.300","34.2","21.7","30.0","5.0","6.7","1.7","0.8",".",".",".",".",".",".",".",".","."
"352
Transformation of Solids","001","","14","3.214","28.6","14.3","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"361
Materials Laboratory II","001","","13","3.192","15.4","23.1","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"379
Materials Sys&Design Proj I","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"390
Materials Sys&Desgn Proj II","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"401","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"401","002","","10","3.650","50.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Mat Sci&Engr","Course Total","","24","3.819","79.2","16.7",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"433
Principles of Corrosion","001","","7","3.571","57.1","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"435
Joining of Materials","001","","15","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"530
Thermodynamics of Solids","001","","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"570
Properties-Solid Surfaces","001","","26","3.558","34.6","42.3","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"699
Independent Study","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"748
Structural Anal of Matrial","001","","20","3.559","25.0","45.0","15.0",".",".",".",".","15.0",".",".",".",".",".",".",".","."
"758
Trans Electron Microscopy Lab","001","","12","",".",".",".",".",".",".",".","91.7",".",".",".",".","8.3",".",".","."
"790","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","17","",".",".",".",".",".",".",".","70.6",".",".",".","29.4",".",".",".","."
"803","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"803","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"803","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"803","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"803","018","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Materials Sci","Course Total","","45","3.968","88.9","4.4",".",".",".",".",".","4.4",".",".",".","2.2",".",".",".","."
