"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Intro-Theatre & Dramatic Lit","120
001","318","3.629","62.3","21.1","10.7","0.9","2.2","0.6","1.6","0.6",".",".",".",".",".",".",".","."
"Voice Training","140
001","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
001","15","3.800","93.3",".",".",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"","150
002","19","3.694","47.4","36.8","10.5",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","003
150","12","3.542","58.3","16.7","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","150
004","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
005","15","3.500","60.0","6.7","13.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","150
006","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
007","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
008","17","3.800","70.6",".","17.6",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"","150
009","16","3.781","81.3","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","010
150","19","3.763","73.7","15.8","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","169","3.792","76.9","10.7","5.9","1.8","2.4","0.6",".","1.8",".",".",".",".",".",".",".","."
"","161
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
002","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","162
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","162
002","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".",".","6.7",".","."
"Theatre Production Laboratory","Course Total","26","4.000","96.2",".",".",".",".",".",".",".",".",".",".",".",".","3.8",".","."
"Fund-Stage Lighting Technology","166
001","15","3.679","53.3","20.0","20.0",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Fundamentals of Stagecraft","170
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Voice Training","240
001","17","3.706","58.8","29.4","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","250
001","18","3.333","38.9","33.3","11.1","11.1",".",".","5.6",".",".",".",".",".",".",".",".","."
"","299
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Traditions in Dramatic Lit","324
001","46","3.089","26.1","19.6","26.1","10.9","10.9","2.2","2.2",".",".",".",".",".",".","2.2",".","."
"Acting Realism","350
001","21","3.762","61.9","28.6","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fund-Asian Stage Discipline","351
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","17","3.792","82.4","5.9","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","362
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
003","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
006","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drama in Education","Course Total","29","3.948","89.7","10.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","366
001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","366
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stage Lighting I","Course Total","12","3.743","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
