"ENTOMOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"355
ENTOM","","","","","","","","","","","","","","","","","","","",""
"302
Introduction to Entomology","001","","30","3.383","43.3","23.3","16.7","6.7","6.7","3.3",".",".",".",".",".",".",".",".",".","."
"351
Principles-Econ Entomology","001","","25","3.063","36.0","8.0","24.0","4.0","16.0","8.0",".","4.0",".",".",".",".",".",".",".","."
"432
Tax & Bionomcs-Immature Ins","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"505
Plant-Microbe Interactions","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"530
Insect Behavior","001","","7","3.500","28.6","28.6","28.6",".",".",".",".",".",".",".",".",".",".","14.3",".","."
"606
Colloquium in Env Tox","001","","12","3.583","66.7",".","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"801
Colloquium","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","001","","9","3.778","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Seminar: Organismal Entomol","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Research & Thesis","Course Total","","20","",".",".",".",".",".",".",".","65.0",".",".",".","20.0",".",".","15.0","."
