"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"POP HLTH","","","","","","","","","","","","","","","","","","","",""
"Sophomore","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","34","3.508","55.9","23.5","14.7",".","2.9",".",".","2.9","",".",".","",".",".",".",".",".","."
"Senior","94","3.606","69.1","16.0","12.8",".","2.1",".",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","131","3.585","66.4","17.6","13.0",".","2.3",".",".","0.8","",".",".","",".",".",".",".",".","."
"Special","25","3.777","60.0","12.0","8.0",".",".",".",".","12.0","",".",".","",".",".",".","8.0",".","."
"Graduate","172","3.729","51.2","25.0","3.5","1.2","0.6",".",".","17.4","",".",".","",".","1.2",".",".",".","."
"Prof Yr 1","176","3.786","69.9","19.3","7.4","2.3","0.6",".",".",".","",".",".","",".",".",".",".",".","0.6"
"Prof Yr 2","45","3.942","88.9","8.9","2.2",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","13","3.846","69.2","23.1","7.7",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 4","128","3.745","68.8","20.3","4.7","0.8","0.8","0.8","0.8","2.3","",".",".","",".",".","0.8",".",".","."
"Professionals","362","3.797","71.8","18.5","5.8","1.4","0.6","0.3","0.3","0.8","",".",".","",".",".","0.3",".",".","0.3"
