"FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"Directed Study","Course Total","","6","3.667","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"703
French Lit-14th & 15th C","001","","13","3.833","69.2","15.4","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"793
Prof French Masters Prg Intern","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","024","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","27","3.895","85.2","14.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"821
Issues-Mthds Teachng Fr&Itl","001","","18","3.819","61.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"957
Le Roman Du XX Siecle","001","","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","Course Total","","25","",".",".",".",".",".",".",".","80.0",".",".",".","20.0",".",".",".","."
