"DESIGN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120","001","108","3.264","26.9","33.3","23.1","7.4","2.8","2.8","1.9","1.9",".",".",".",".",".",".",".","."
"","154","001","7","3.786","85.7",".",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","154","002","15","3.567","33.3","46.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fabric & Apparel Structures II","","Course Total","22","3.636","50.0","31.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Fashion Illustration","210","001","18","3.306","33.3","27.8","22.2","11.1",".","5.6",".",".",".",".",".",".",".",".",".","."
"Design: Fundamentals II","220","001","17","3.441","17.6","52.9","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Person & Environ Interactions","221","001","66","3.227","19.7","31.8","27.3","16.7","4.5",".",".",".",".",".",".",".",".",".",".","."
"Interior Design I","222","001","33","3.485","30.3","36.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Apparel Design I","225","001","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Off-Loom","226","001","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn:Print & Dye I","227","001","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design:Structural I","228","001","9","3.000","11.1","33.3","22.2","11.1","22.2",".",".",".",".",".",".",".",".",".",".","."
"Textile Science","251","001","88","2.932","8.0","25.0","28.4","27.3","9.1","2.3",".",".",".",".",".",".",".",".",".","."
"","299","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Design: Sketching&Rendering","320","001","16","3.594","56.3","18.8","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"CAD: Architecture&Interiors","323","001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist of Fashion,1400-Presnt","355","001","51","3.129","33.3","2.0","43.1","7.8","5.9","5.9",".","2.0",".",".",".",".",".",".",".","."
"Sustainabl Residntl Constructn","356","001","7","3.071","14.3","14.3","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"Twentieth Century Design","420","001","30","3.400","33.3","33.3","26.7",".","3.3","3.3",".",".",".",".",".",".",".",".",".","."
"Amer Interiors,1620-1950","422","001","40","3.325","32.5","32.5","15.0","12.5","5.0","2.5",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn: Print&Dye II","427","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Textile Dsgn:Structural II","428","001","7","3.286","14.3","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving II","429","001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Color Theory and Technology","451","001","15","3.033","6.7","26.7","40.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","469","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Color Theory: Environ Context","520","001","21","3.700","42.9","47.6","4.8",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","601","015","17","3.962","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","050","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","22","3.967","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design III","622","001","33","3.625","30.3","63.6",".","3.0",".",".",".",".",".",".",".",".","3.0",".",".","."
"Apparel Design III","625","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Housing Envrs-Older People","630","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Interior&Arch Dsgn Visualz","633","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
"","699","000C","20","3.690","55.0","30.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","000B","20","3.628","60.0","15.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","000A","20","3.443","25.0","45.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","000E","20","3.586","60.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 145 of 403",""
