"","990
030","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
032","4","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
037","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","27","",".",".",".",".",".",".","",".","88.9","",".",".",".","11.1","",".",".",".","."
"DY SCI
292","Dept. Total","281","3.381","46.6","13.5","14.2","6.8","5.7","2.8","",".","8.9","",".",".",".","1.4","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","14","3.219","35.7",".","35.7","14.3","14.3",".","",".",".","",".",".",".",".","",".",".",".","."
"Sophomore","","37","3.420","45.9","18.9","21.6","8.1","5.4",".","",".",".","",".",".",".",".","",".",".",".","."
"Junior","","54","3.140","40.7","9.3","20.4","14.8","9.3","5.6","",".",".","",".",".",".",".","",".",".",".","."
"Senior","","85","3.332","42.4","20.0","15.3","7.1","8.2","5.9","",".","1.2","",".",".",".",".","",".",".",".","."
"Undergraduates","","190","3.288","42.1","15.3","19.5","10.0","8.4","4.2","",".","0.5","",".",".",".",".","",".",".",".","."
"Special","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".",".",".","",".",".",".","."
"Graduate","","90","3.854","55.6","10.0","3.3",".",".",".","",".","26.7","",".",".",".","4.4","",".",".",".","."
"","Dept. Total","281","3.381","46.6","13.5","14.2","6.8","5.7","2.8","",".","8.9","",".",".",".","1.4","",".",".",".","."
