"BUS","","","","","","","","","","","","","","","","","","",""
"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","210","2.880","13.8","5.7","53.8","7.6","13.3","2.9","1.9","1.0",".",".",".",".",".",".",".","."
"","300
002","119","2.792","16.8","2.5","54.6","6.7","6.7","6.7","5.0","0.8",".",".",".",".",".",".",".","."
"","300
010","99","2.872","21.2","4.0","48.5","3.0","14.1","4.0","4.0","1.0",".",".",".",".",".",".",".","."
"","300
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","430","2.847","16.3","4.4","52.8","6.3","11.6","4.2","3.5","0.9",".",".",".",".",".",".",".","."
"","305
001","71","3.035","19.7","11.3","43.7","7.0","18.3",".",".",".",".",".",".",".",".",".",".","."
"","305
002","71","2.845","15.5","11.3","38.0","8.5","21.1","5.6",".",".",".",".",".",".",".",".",".","."
"","305
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Resource Management","Course Total","144","2.948","17.4","12.5","40.3","7.6","19.4","2.8",".",".",".",".",".",".",".",".",".","."
"","365
000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
002","14","3.423","28.6","28.6","28.6","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"","365
003","22","3.523","36.4","36.4","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","38","3.500","34.2","34.2","23.7","5.3",".",".",".","2.6",".",".",".",".",".",".",".","."
"","399
096","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
159","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
217","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","6","3.735","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420
001","20","3.789","65.0","20.0","10.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","420
002","28","3.786","67.9","21.4","10.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Manage Change & Org","Course Total","48","3.787","66.7","20.8","10.4",".",".",".",".","2.1",".",".",".",".",".",".",".","."
"Small Bus Mgmnt/Entrprshp","422
001","26","3.692","69.2","7.7","19.2",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","423
001","20","3.556","25.0","50.0","15.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","423
002","17","3.625","35.3","47.1","11.8",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Strategic Management","Course Total","37","3.588","29.7","48.6","13.5",".",".",".",".","8.1",".",".",".",".",".",".",".","."
"Venture Creation","434
001","15","3.333","13.3","46.7","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar: Organizational Issues","470
001","19","3.342","42.1","26.3","10.5","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"Personnel Staffing & Eval","611
001","29","3.643","37.9","48.3","10.3",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"Labor-Management Relations","612
001","22","3.455","31.8","31.8","31.8","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","628
001","17","3.794","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organizational Behavior","700
010","8","3.188","25.0","12.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","704
001","60","3.817","75.0","15.0","8.3","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"","704
002","58","3.871","75.9","22.4","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","030
704","30","3.750","66.7","23.3","3.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Behav in Organizatns","Course Total","148","3.824","73.6","19.6","4.7","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","705
001","16","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Strategy","723
001","40","3.550","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurl Growth Strategy","727
001","13","3.615","38.5","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Barg,Negot,Dispute Settlmnt","728
001","18","3.778","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Management Consulting","731
001","25","3.580","24.0","68.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","734
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"WAVE Practicum II","738
001","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","12","3.500","41.7","25.0","16.7",".","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 57 of 403"
