"","990
087","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
094","2","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
098","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","80","",".",".",".",".",".",".",".","93.8",".",".",".","6.3","",".",".",".","."
"MICROBIO
192","Dept. Total","1322","3.274","35.6","18.9","22.9","5.7","8.5","1.2","0.5","6.1","0.1",".",".","0.4","",".",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","13","2.077",".","7.7","23.1","7.7","46.2",".","15.4",".",".",".",".",".","",".",".",".","."
"Sophomore","","141","2.989","24.1","17.7","27.7","7.8","18.4","3.5","0.7",".",".",".",".",".","",".",".",".","."
"Junior","","273","3.198","25.3","25.6","28.6","7.7","12.1","0.4",".",".",".",".",".",".","",".",".","0.4","."
"Senior","","563","3.263","35.0","22.4","25.6","6.6","8.2","1.8","0.5",".",".",".",".",".","",".",".",".","."
"Undergraduates","","990","3.178","30.3","22.4","26.7","7.1","11.2","1.6","0.6",".",".",".",".",".","",".",".","0.1","."
"Special","","22","3.519","45.5","13.6","27.3","9.1",".",".",".",".",".",".",".",".","",".",".","4.5","."
"Graduate","","220","3.825","50.9","3.6","5.0","0.5","0.5",".",".","36.8","0.5",".",".","2.3","",".",".",".","."
"Prof Yr 1","","87","3.626","54.0","19.5","24.1","2.3",".",".",".",".",".",".",".",".","",".",".",".","."
"Prof Yr 3","","2","3.600","50.0",".","50.0",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Prof Yr 4","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Professionals","","90","3.627","54.4","18.9","24.4","2.2",".",".",".",".",".",".",".",".","",".",".",".","."
"","Dept. Total","1322","3.274","35.6","18.9","22.9","5.7","8.5","1.2","0.5","6.1","0.1",".",".","0.4","",".",".","0.2","."
