"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"","340","002","","50","2.367","14.0","8.0","18.0","16.0","18.0","18.0","6.0","2.0",".",".",".",".",".",".",".","."
"Elem Matrix&Linear Algebra","","Course Total","","119","2.703","27.7","3.4","23.5","6.7","24.4","9.2","4.2","0.8",".",".",".",".",".",".",".","."
"Linear Algebra","341","001","","27","3.056","22.2","18.5","25.9","14.8","18.5",".",".",".",".",".",".",".",".",".",".","."
"Basic Concepts of Math","371","001","","33","2.818","18.2","12.1","27.3","18.2","18.2","3.0","3.0",".",".",".",".",".",".",".",".","."
"Topics-Multi-Var Calc&Diff Eq","376","001","","31","3.113","38.7","12.9","25.8","3.2","9.7","6.5","3.2",".",".",".",".",".",".",".",".","."
"Theory of Single Variable Calc","421","001","","7","2.571","14.3",".","28.6","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatrl Optimizatn","425","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","431","001","","40","2.667","10.0","20.0","15.0","15.0","32.5","2.5","2.5","2.5",".",".",".",".",".",".",".","."
"","431","002","","38","2.961","28.9","13.2","23.7","5.3","23.7","2.6","2.6",".",".",".",".",".",".",".",".","."
"Intro-Theory of Probability","","Course Total","","78","2.812","19.2","16.7","19.2","10.3","28.2","2.6","2.6","1.3",".",".",".",".",".",".",".","."
"Intro to Modern Algebra","441","001","","17","3.235","29.4","17.6","35.3","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"College Geometry I","461","001","","33","3.818","81.8",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475","001","","19","3.368","42.1","10.5","36.8",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"Numerical Linear Algebra","513","001","","14","3.000","28.6",".","35.7","14.3","7.1","7.1",".","7.1",".",".",".",".",".",".",".","."
"","521","001","","7","2.583","28.6",".",".","14.3","28.6","14.3",".",".",".",".",".",".",".","14.3",".","."
"","521","002","","24","3.696","66.7","12.5","8.3","4.2","4.2",".",".","4.2",".",".",".",".",".",".",".","."
"","521","003","","9","3.611","22.2","77.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Calculus","","Course Total","","40","3.500","50.0","25.0","5.0","5.0","7.5","2.5",".","2.5",".",".",".",".",".","2.5",".","."
"Advanced Calculus","522","001","","25","2.660","24.0","4.0","28.0",".","32.0","8.0","4.0",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","541","001","","22","3.024","27.3","13.6","22.7","9.1","18.2","4.5",".",".",".",".",".",".",".",".",".","4.5"
"","541","002","","9","2.938","33.3","11.1","11.1",".","22.2","11.1",".",".",".",".",".",".",".",".","11.1","."
"Modern Algebra","","Course Total","","31","3.000","29.0","12.9","19.4","6.5","19.4","6.5",".",".",".",".",".",".",".",".","3.2","3.2"
"Modern Algebra","542","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Topology","551","001","","22","2.795","36.4","9.1","13.6","4.5","22.7","4.5","9.1",".",".",".",".",".",".",".",".","."
"Elem Geom & Alg Topology","552","001","","12","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Differential Geometry","561","001","","16","2.938","31.3","6.3","18.8","18.8","18.8","6.3",".",".",".",".",".",".",".",".",".","."
"Intro-Measure & Integration","629","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","","21","3.263","33.3","9.5","28.6","9.5","9.5",".",".","9.5",".",".",".",".",".",".",".","."
"Intro-Brownian Motn&Stoch Calc","635","001","","15","3.333","33.3","40.0","20.0",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Intro to Error-Correctng Codes","641","001","","8","3.750","87.5",".",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","080","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","106","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","7","3.429","85.7",".",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Methods of Applied Math-2","704","001","","12","3.667","91.7",".",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Potential Theory","713","001","","12","3.818","66.7","16.7","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Complex Analysis","722","001","","25","3.920","96.0",".",".",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Secnd Crse in Real Analysis","725","001","","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Abstract Algebra","742","001","","21","3.810","76.2","14.3","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Groups","745","001","","17","3.676","64.7","23.5",".","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 256 of 403",""
