"DAIRY SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","",""
"205
Dairy Cattle Selection","001","","16","3.667","56.3","12.5","25.0",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"299","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"302
Dy Cattle Husbandry Practicum","001","","18","3.139","27.8","11.1","33.3","16.7","11.1",".",".",".",".",".",".",".",".",".",".","."
"311
Comparative Animal Nutritn","001","","21","2.595","14.3","4.8","19.0","28.6","23.8","9.5",".",".",".",".",".",".",".",".",".","."
"313","001","","12","3.333","33.3","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"313","002","","7","3.429","57.1","14.3",".","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Animal Feeds&Diet Formulatn","Course Total","","19","3.368","42.1","15.8","21.1","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"361
Intro to Animal & Vet Genetics","001","","20","2.675","15.0","15.0","30.0",".","25.0","15.0",".",".",".",".",".",".",".",".",".","."
"362
Veterinary Genetics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"363
Principles of Animal Breeding","001","","15","2.733","13.3","13.3","26.7","26.7","6.7","13.3",".",".",".",".",".",".",".",".",".","."
"375","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"375","002","","34","3.824","73.5","17.6","8.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","38","3.829","73.7","18.4","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","3","***","","","","","","","","","","","","","","","",""
"433
Dairy Herd Management","001","","20","3.350","30.0","30.0","25.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"535
Dairy Farm Mgmt Practicum","001","","21","3.786","66.7","23.8","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","4","***","","","","","","","","","","","","","","","",""
"799","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Dairy Science Tchng","Course Total","","3","***","","","","","","","","","","","","","","","",""
"875
Special Topics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"900","001","","24","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","004","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"900","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","Course Total","","39","3.936","92.3","2.6","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"931
Seminar in Animal Nutrition","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"951
Seminar in Animal Breeding","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
