"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"BMOLCHEM","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","4","3.455","75.0",".",".",".","25.0",".",".",".","",".",".","",".",".","",".",".",".","."
"Junior","58","3.318","44.8","15.5","15.5","12.1","6.9","3.4",".",".","",".",".","",".",".","",".",".",".","1.7"
"Senior","134","3.346","51.5","11.2","23.1","3.0","5.2","4.5","1.5",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","197","3.341","50.3","12.2","20.3","5.6","6.1","4.1","1.0",".","",".",".","",".",".","",".",".",".","0.5"
"Special","3","1.875",".",".","66.7",".",".",".","33.3",".","",".",".","",".",".","",".",".",".","."
"Graduate","124","3.867","46.0","4.0","3.2",".",".",".",".","44.4","",".",".","",".","2.4","",".",".",".","."
"Prof Yr 1","1","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","3","4.000","33.3",".",".",".",".",".",".","66.7","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".","",".",".",".","."
"Professionals","5","3.250","20.0",".","20.0",".",".",".",".","60.0","",".",".","",".",".","",".",".",".","."
