"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"200
Race,Ethnicty&Inequal-Am Ed","001","","39","3.167","20.5","33.3","25.6","10.3","5.1","5.1",".",".",".",".",".",".",".",".",".","."
"300","001","","26","3.780","73.1","7.7","11.5","3.8",".",".",".","3.8",".",".",".",".",".",".",".","."
"300","002","","28","3.214","25.0","10.7","53.6","3.6","7.1",".",".",".",".",".",".",".",".",".",".","."
"300","003","","26","3.769","57.7","38.5","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","004","","25","3.880","84.0","12.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"School and Society","Course Total","","105","3.649","59.0","17.1","18.1","2.9","1.9",".",".","1.0",".",".",".",".",".",".",".","."
"399
Independent Reading","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"412
History-American Education","001","","46","3.326","26.1","34.8","19.6","17.4","2.2",".",".",".",".",".",".",".",".",".",".","."
"516
Religion and Public Education","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"567
History of African-Amer Educ","001","","15","3.417","20.0","53.3",".",".",".","6.7",".","13.3",".",".",".",".","6.7",".",".","."
"570
Anthropology and Education","001","","15","3.400","6.7","66.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"600
Problems in Educ Pol","001","","10","3.778","50.0","40.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"622
Hist-Rad&Expermntl Ed in US&UK","001","","7","2.786","14.3","28.6","14.3","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"665
Hist of Fed Role in Amer Educ","001","","7","3.571","42.9","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","2","***","","","","","","","","","","","","","","","",""
"736
The Sociology of Teaching","001","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"755
Methods-Qualitative Resch","001","","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"780
Special Topics in Educ Policy","001","","13","3.818","53.8","30.8",".",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"830
Financng Elem&Secondry Educ","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"870
Theories-Soc & Ed Change","001","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"872
Educ Policy Rsch Design","001","","15","3.633","26.7","73.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"908
Smr-Sociology of Education","001","","6","3.700","33.3","50.0",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"962
Cross Natl Studies-Ed Probs","001","","13","3.708","61.5","15.4","7.7","7.7",".",".",".",".",".",".",".",".","7.7",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","6","",".",".",".",".",".",".",".","83.3","16.7",".",".",".",".",".",".","."
"990","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","40","",".",".",".",".",".",".",".","97.5","2.5",".",".",".",".",".",".","."
"999","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 89 of 403"
