"International Real Estate","430
001","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"International Real Estate","730
001","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Multinational Bus Finance","745
001","9","3.333","33.3","33.3","11.1","11.1","11.1",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Intl Operations: Probs&Adm","755
001","14","3.964","92.9","7.1",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"INTL BUS
235","Dept. Total","335","3.145","32.2","19.4","23.9","15.2","8.7","0.3","0.3","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","78","2.868","16.7","20.5","21.8","20.5","19.2",".","1.3","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","126","3.165","34.9","17.5","29.4","10.3","7.1","0.8",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","99","3.189","33.3","20.2","23.2","19.2","4.0",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","303","3.091","29.7","19.1","25.4","15.8","9.2","0.3","0.3","",".","",".",".","",".","",".","",".",".",".","."
"Special","","7","3.214","28.6","14.3","28.6","28.6",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","24","3.688","62.5","25.0","4.2","4.2","4.2",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","335","3.145","32.2","19.4","23.9","15.2","8.7","0.3","0.3","",".","",".",".","",".","",".","",".",".",".","."
