"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","271","2.699","20.3","9.6","23.6","12.9","23.2","5.5","4.8",".",".",".",".",".",".",".",".","."
"","002
101","335","2.544","14.6","9.6","21.8","10.7","29.3","8.7","4.2","0.3",".",".",".",".",".","0.3",".","0.6"
"Animal Biology","Course Total","606","2.614","17.2","9.6","22.6","11.7","26.6","7.3","4.5","0.2",".",".",".",".",".","0.2",".","0.3"
"","102
001","21","3.548","42.9","28.6","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","26","3.654","53.8","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","25","3.320","28.0","32.0","32.0",".","4.0","4.0",".",".",".",".",".",".",".",".",".","."
"","102
004","22","3.568","36.4","45.5","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","22","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","23","3.478","39.1","21.7","34.8","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
007","22","3.841","68.2","31.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","27","3.278","14.8","48.1","25.9","7.4",".","3.7",".",".",".",".",".",".",".",".",".","."
"","102
009","26","3.635","46.2","34.6","19.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
102","24","3.729","62.5","25.0","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","102
011","23","3.652","56.5","17.4","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
012","24","3.500","41.7","29.2","20.8","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","013
102","24","3.771","62.5","29.2","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
014","22","3.682","54.5","31.8","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
015","25","3.600","48.0","40.0","8.0",".",".","4.0",".",".",".",".",".",".",".",".",".","."
"","102
016","23","3.196","13.0","43.5","26.1","13.0",".","4.3",".",".",".",".",".",".",".",".",".","."
"","102
017","21","3.595","38.1","42.9","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
018","26","3.750","65.4","19.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
019","20","3.400","30.0","40.0","15.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","446","3.576","45.5","32.1","17.9","2.9","0.7","0.9",".",".",".",".",".",".",".",".",".","."
"","151
001","96","2.797","12.5","7.3","38.5","14.6","25.0","2.1",".",".",".",".",".",".",".",".",".","."
"","151
002","98","2.801","14.3","10.2","41.8","7.1","20.4","3.1","3.1",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","194","2.799","13.4","8.8","40.2","10.8","22.7","2.6","1.5",".",".",".",".",".",".",".",".","."
"","152
001","102","3.188","31.4","10.8","39.2","2.9","12.7","2.0",".",".",".",".",".",".",".","1.0",".","."
"","152
002","100","3.136","21.0","15.0","47.0","6.0","8.0","2.0",".",".",".",".",".",".",".",".",".","1.0"
"","152
003","92","3.212","20.7","17.4","53.3","1.1","7.6",".",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","294","3.178","24.5","14.3","46.3","3.4","9.5","1.4",".",".",".",".",".",".",".","0.3",".","0.3"
"Directed Study","199
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Biology and Society","220
001","33","3.606","54.5","30.3","12.1",".",".",".","3.0",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260
001","50","3.350","38.0","22.0","22.0","8.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Entomology","302
001","20","3.625","65.0","10.0","10.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"Hum/An Relatn:Bio&Phils Iss","335
001","108","2.861","18.5","9.3","40.7","5.6","19.4","4.6","1.9",".",".",".",".",".",".",".",".","."
"Parasitology","350
001","90","2.713","14.4","7.8","37.8","2.2","28.9","6.7","1.1","1.1",".",".",".",".",".",".",".","."
"Parasitology Laboratory","351
001","9","3.000","22.2","11.1","33.3","11.1","22.2",".",".",".",".",".",".",".",".",".",".","."
"Honors Proseminar","380
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Evolutionary Biology","410
001","147","3.188","42.9","10.2","22.4","8.2","8.8","4.1","2.7","0.7",".",".",".",".",".",".",".","."
"Midwest Ecol Iss: Case Study","450
001","49","3.439","32.7","38.8","22.4",".","4.1","2.0",".",".",".",".",".",".",".",".",".","."
"General Ecology","460
001","36","2.444","11.1","8.3","30.6","2.8","30.6","11.1","5.6",".",".",".",".",".",".",".",".","."
"General Genetics","466
001","47","2.630","14.9","19.1","19.1","10.6","21.3","4.3","8.5",".",".",".",".",".",".",".",".","2.1"
"Intro to Animal Development","470
001","137","2.930","27.7","13.1","24.8","10.9","13.1","5.8","3.6","0.7",".",".",".",".",".",".",".","."
