"","JOURN AND MASS COMMUNICA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"Intro to Mass Communication","201","001","440","3.495","40.0","31.4","22.5","3.0","2.0",".","0.9","0.2",".",".",".",".",".",".",".","."
"Mass Communication Practices","202","001","104","3.356","17.3","40.4","39.4","1.9","1.0",".",".",".",".",".",".",".",".",".",".","."
"","335","001","14","3.607","28.6","64.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335","002","13","3.731","61.5","30.8",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","335","003","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Reporting","","Course Total","40","3.663","45.0","45.0","7.5","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"","345","001","30","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","345","002","17","3.529","29.4","47.1","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Strategic Com","","Course Total","47","3.670","42.6","48.9","8.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"In-Depth Reporting","401","001","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interpatn Contemp Affairs","404","001","17","3.618","41.2","41.2","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Nonfiction","405","001","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multimedia Graphics","411","001","15","3.467","20.0","60.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Science & Envir Journalism","415","001","14","3.464","42.9","21.4","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Electronc News-Web & Broadcast","419","001","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Develop Creatv Messages-Media","445","001","33","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Communicatn Campaign","449","002","28","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law of Mass Communication","559","001","118","2.770","11.0","20.3","31.4","14.4","8.5","7.6","4.2","1.7","0.8",".",".",".",".",".",".","."
"Mass Communication&Society","561","001","19","3.632","47.4","36.8","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Communicatn&Public Opinion","614","001","73","3.880","74.0","23.3",".",".",".",".",".","2.7",".",".",".",".",".",".",".","."
"Mass Comm & Political Behav","618","001","28","3.804","64.3","32.1","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and the Consumer","646","001","113","3.261","14.2","32.7","41.6","9.7",".",".",".","1.8",".",".",".",".",".",".",".","."
"","662","001","21","3.333","19.0","38.1","33.3","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","662","002","20","3.800","75.0","15.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and Minorities","","Course Total","41","3.561","46.3","26.8","19.5","7.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Govt & Mass Media","675","001","23","3.326","34.8","34.8","13.0","4.3","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"","676","030","38","3.711","55.3","31.6","13.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676","036","15","3.473","26.7","46.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Mass Communication","","Course Total","53","3.570","47.2","35.8","17.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","033","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","094","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","692","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","005","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","697","007","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","697","010","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","697","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","035","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 240 of 403",""
