"CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"567","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"567","003","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry Laboratory","Course Total","","20","3.289","25.0","20.0","35.0","15.0",".",".",".",".",".",".",".",".",".","5.0",".","."
"605
Spectrochemical Measuremts","001","","42","3.333","23.8","31.0","33.3","11.9",".",".",".",".",".",".",".",".",".",".",".","."
"606
Phys Meth-Struct Determintn","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"607
Laboratory Safety","001","","66","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"613
Chemical Crystallography","001","","15","3.679","60.0","6.7","26.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"619
Microscopy of Life","001","","7","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"628
Chem Instrumtn:Dsgn&Control","001","","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"630","001","","13","3.615","53.8","23.1","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"630","002","","14","3.919","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Analytical Chemistry","Course Total","","27","3.794","74.1","11.1","11.1","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"636
Topics-Chem Instrumentatn: NMR","001","","17","3.441","29.4","29.4","41.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"638
Topic-Instrmtn:Mass Spectrmtry","001","","10","3.833","60.0","30.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"654
Materials Chem of Polymers","001","","14","3.214","28.6","28.6","35.7",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"664
Phys Chem of Macromolecules","001","","25","3.486","36.0","24.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"682","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"692","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 174 of 403",""
