"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","44","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Machine Shop and Welding","132
001","","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001","","19","3.395","52.6","26.3","10.5",".",".","5.3","5.3",".",".",".",".",".",".",".",".","."
"","160
002","","22","3.455","59.1","27.3",".",".","4.5","4.5","4.5",".",".",".",".",".",".",".",".","."
"","160
003","","19","3.526","52.6","15.8","21.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Architectural Graphics","Course Total","","60","3.458","55.0","23.3","10.0","1.7","3.3","3.3","3.3",".",".",".",".",".",".",".",".","."
"","170
001","","19","3.447","36.8","31.6","15.8","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"","170
002","","18","3.167","38.9","27.8","16.7","5.6",".",".","11.1",".",".",".",".",".",".",".",".","."
"","170
003","","22","3.295","22.7","31.8","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","Course Total","","59","3.305","32.2","30.5","20.3","13.6",".",".","3.4",".",".",".",".",".",".",".",".","."
"Intro Engineering Graphics","231
001","","115","3.235","20.9","32.2","27.8","14.8","2.6","1.7",".",".",".",".",".",".",".",".",".","."
"Geom Modeling-Engr Applcatn","232
001","","78","2.877","12.8","16.7","30.8","25.6","6.4","5.1","1.3",".",".",".",".",".",".",".",".","1.3"
"","240
001","","38","2.447","7.9","15.8","21.1","21.1","18.4","5.3","10.5",".",".",".",".",".",".",".",".","."
"","240
002","","42","2.774","19.0",".","40.5","11.9","21.4","7.1",".",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","","80","2.619","13.8","7.5","31.3","16.3","20.0","6.3","5.0",".",".",".",".",".",".",".",".","."
"Undergrad Mech Engr Project","291
050","","6","3.607","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
050","","21","3.786","61.9","28.6","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","22","3.794","63.6","27.3","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","306
001","","41","3.061","22.0","17.1","22.0","29.3","9.8",".",".",".",".",".",".",".",".",".",".","."
"","306
002","","53","2.660","18.9","9.4","22.6","17.0","17.0","13.2","1.9",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","","94","2.835","20.2","12.8","22.3","22.3","13.8","7.4","1.1",".",".",".",".",".",".",".",".","."
"","307
001","","17","3.559","58.8","11.8","11.8","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
005","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
006","","11","3.500","45.5","27.3","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","307
007","","11","3.500","27.3","45.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
008","","16","3.500","50.0","18.8","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","009
307","","12","3.500","50.0","25.0","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","","90","3.606","54.4","24.4","11.1","7.8","2.2",".",".",".",".",".",".",".",".",".",".","."
"","313
001","","31","3.274","19.4","32.3","35.5","9.7","3.2",".",".",".",".",".",".",".",".",".",".","."
"","313
002","","40","3.250","17.5","42.5","25.0","7.5","5.0","2.5",".",".",".",".",".",".",".",".",".","."
"Manufacturing Processes","Course Total","","71","3.261","18.3","38.0","29.6","8.5","4.2","1.4",".",".",".",".",".",".",".",".",".","."
"","314
001","","52","3.154","23.1","25.0","21.2","21.2","9.6",".",".",".",".",".",".",".",".",".",".","."
"","314
002","","31","3.419","32.3","38.7","16.1","6.5","6.5",".",".",".",".",".",".",".",".",".",".","."
"Intro-Competitv Manufactrng","Course Total","","83","3.253","26.5","30.1","19.3","15.7","8.4",".",".",".",".",".",".",".",".",".",".","."
"","340
001","","56","2.973","16.1","28.6","21.4","19.6","7.1","5.4","1.8",".",".",".",".",".",".",".",".","."
"","340
002","","32","3.000","6.3","34.4","34.4","15.6","3.1","6.3",".",".",".",".",".",".",".",".",".","."
"Intro to Dynamic Systems","Course Total","","88","2.983","12.5","30.7","26.1","18.2","5.7","5.7","1.1",".",".",".",".",".",".",".",".","."
"","342
001","","30","2.533","13.3","23.3","16.7","10.0","16.7","10.0","10.0",".",".",".",".",".",".",".",".","."
"","342
002","","31","2.839","12.9","25.8","16.1","19.4","19.4","6.5",".",".",".",".",".",".",".",".",".","."
"","342
003","","28","2.833","10.7","21.4","21.4","25.0","10.7","7.1",".","3.6",".",".",".",".",".",".",".","."
"Design of Machine Elements","Course Total","","89","2.733","12.4","23.6","18.0","18.0","15.7","7.9","3.4","1.1",".",".",".",".",".",".",".","."
