"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"132","001","","197","2.904","17.3","22.3","25.9","11.2","17.3","3.0","3.0",".",".",".",".",".",".",".",".","."
"132","002","","319","2.693","11.6","12.9","25.7","18.2","26.0","2.5","2.8",".",".",".",".",".",".","0.3",".","."
"132","003","","206","2.751","15.0","14.6","17.0","9.2","30.1","4.4","0.5","8.3",".",".",".",".",".","1.0",".","."
"Nutrition Today","Course Total","","722","2.768","14.1","15.9","23.3","13.7","24.8","3.2","2.2","2.4",".",".",".",".",".","0.4",".","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","3.800","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"311
Comparative Animal Nutritn","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"332
Human Nutritional Needs","001","","184","2.798","16.8","8.2","40.2","6.0","20.1","6.5","1.6","0.5",".",".",".",".",".",".",".","."
"350
World Hunger & Malnutrition","001","","51","3.490","49.0","23.5","11.8","7.8",".","2.0","2.0","3.9",".",".",".",".",".",".",".","."
"431
Nutrition in the Life Span","001","","57","3.348","33.3","17.5","33.3","12.3","1.8",".",".","1.8",".",".",".",".",".",".",".","."
"520","001","","22","3.659","54.5","22.7","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"520","002","","22","3.705","59.1","27.3","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Applications-Clin Nutrition","Course Total","","44","3.682","56.8","25.0","15.9","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"540
Commun Nutr Prgms & Policy Iss","001","","20","3.632","50.0","20.0","25.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"619
Adv Nutr: Metab-Macronutrients","001","","6","3.250","33.3",".","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"627
Adv Nutrition: Vitamins","001","","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"672
Herbl, Homeopthy&Diet Supplmnt","001","","9","3.813","55.6","33.3",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","16","3.917","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Pract-Nutri Sciences Tchg","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"881
Smr-Human&Clinicl Nutrition","001","","15","3.900","60.0",".","6.7",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"931
Seminar-Nutrition","001","","32","4.000","3.1",".",".",".",".",".",".","96.9",".",".",".",".",".",".",".","."
"991","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"991","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"991","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"991","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 34 of 403"
