"CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"211
Chem Process Thermodynamics","001","","38","2.974","18.4","18.4","28.9","13.2","18.4","2.6",".",".",".",".",".",".",".",".",".","."
"250
Process Synthesis","002","","20","2.875","15.0","15.0","30.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".","."
"311
Thermodynamics of Mixtures","001","","23","2.783","21.7","8.7","39.1",".","17.4","8.7","4.3",".",".",".",".",".",".",".",".","."
"320
Intro Transport Phenomena","001","","27","3.167","29.6","25.9","22.2","14.8",".","3.7","3.7",".",".",".",".",".",".",".",".","."
"324","002","","8","3.188","12.5","37.5","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"324","003","","12","3.333","16.7","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"324","004","","12","3.458","25.0","41.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","Course Total","","32","3.344","18.8","37.5","40.6",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"326
Momentum&Heat Transfer Oper","001","","29","2.931","20.7","10.3","37.9","10.3","13.8","6.9",".",".",".",".",".",".",".",".",".","."
"425
Undergrad Rheology Seminar","001","","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"426
Mass Transfer Operations","001","","28","2.857","28.6","7.1","28.6","7.1","17.9","7.1","3.6",".",".",".",".",".",".",".",".","."
"430
Chem Kinetcs & Reactor Dsgn","001","","24","3.250","25.0","29.2","25.0","12.5","8.3",".",".",".",".",".",".",".",".",".",".","."
"440
Chemical Engineering Matl","001","","37","3.027","21.6","21.6","24.3","16.2","10.8","5.4",".",".",".",".",".",".",".",".",".","."
"450
Process Design","001","","37","3.095","32.4","10.8","18.9","18.9","18.9",".",".",".",".",".",".",".",".",".",".","."
"470
Process Dynamics & Control","002","","46","3.033","17.4","21.7","26.1","19.6","15.2",".",".",".",".",".",".",".",".",".",".","."
"535
Heterogeneous Catalysis","001","","10","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"555
Seminar-Chem Engr Connections","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"562
Spec Topics in ChE","002","","19","3.920","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"599","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"599","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"599","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","19","3.730","89.5","5.3",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"620
Intmed Transport Phenomena","001","","10","3.400","30.0","30.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Independent Studies","Course Total","","4","***","","","","","","","","","","","","","","","",""
"731
Computnl Modllng-Reactv Sys","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"782
Modeling Biological Systems","001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 104 of 403",""
