"GEOLOGY & GEOPHYSICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","",""
"","100","001","191","3.195","27.7","25.7","19.9","11.5","11.0","1.6","0.5","0.5",".",".",".",".",".",".","1.0","0.5"
"","100","002","163","3.316","36.2","25.2","14.7","13.5","6.7","1.2","0.6","1.8",".",".",".",".",".",".",".","."
"General Geology","","Course Total","354","3.251","31.6","25.4","17.5","12.4","9.0","1.4","0.6","1.1",".",".",".",".",".",".","0.6","0.3"
"Survey of Oceanography","105","001","18","3.278","38.9","11.1","27.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","91","2.813","20.9","9.9","23.1","13.2","24.2","3.3","2.2","3.3",".",".",".",".",".",".",".","."
"Life of the Past","107","001","53","2.585","18.9","11.3","13.2","26.4","11.3","15.1","3.8",".",".",".",".",".",".",".",".","."
"Evolution and Extinction","110","001","207","2.775","27.5","6.3","23.7","4.3","25.6","8.2","2.9","0.5",".",".",".",".",".","1.0",".","."
"Sci Behind News-Wrld Around Us","115","001","192","2.864","16.7","17.2","27.6","13.5","16.7","1.6","3.1","3.6",".",".",".",".",".",".",".","."
"Monitoring Earth by Satellite","118","001","63","2.879","17.5","9.5","20.6","25.4","17.5","1.6",".","7.9",".",".",".",".",".",".",".","."
"Directed Study","198","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Earth Materials","203","001","22","3.045","27.3","13.6","18.2","22.7","18.2",".",".",".",".",".",".",".",".",".",".","."
"Geologic Evolution of Earth","204","001","29","3.000","24.1","10.3","37.9","10.3","13.8",".","3.4",".",".",".",".",".",".",".",".","."
"Geobiology","304","001","13","3.077","15.4","23.1","30.8","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"Landforms-Topics & Regions","326","001","11","3.000","9.1","36.4","18.2","18.2","18.2",".",".",".",".",".",".",".",".",".",".","."
"Gems: Sci Behind the Sparkle","331","001","486","3.343","32.7","30.0","16.0","8.6","4.3","3.7",".","3.5",".",".",".",".",".",".","1.0","."
"","376","001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376","003","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376","004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","376","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Geology","","Course Total","40","3.898","82.5","15.0",".",".",".",".",".","2.5",".",".",".",".",".",".",".","."
"Structural Geology","455","001","23","3.022","17.4","17.4","39.1","13.0","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"Geologic Field Methods","456","001","14","3.179","21.4","21.4","35.7","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"Conducted Field Trip","457","001","12","3.409","16.7","41.7","33.3",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"Advanced Landform Geography","524","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","699","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","6","3.700","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Hydrogeology","727","001","14","3.643","78.6","14.3",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Metamorphic Petrology","772","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geophysical Inverse Theory","793","001","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","001","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","002","13","3.542","30.8","38.5","23.1",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","875","003","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
