"PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","",""
"546
Lasers","001","","10","3.845","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"551
Solid State Physics","001","","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"619
Microscopy of Life","001","","6","3.167",".","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"625
Applied Optics","001","","20","3.633","40.0","45.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"682","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"715
Statistical Mechanics","001","","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"721
Theor Physics-Electrodynmcs","001","","40","3.526","37.5","27.5","32.5",".",".",".",".","2.5",".",".",".",".",".",".",".","."
"724
Waves&Instabilities-Plasmas","001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"732
Quantum Mechanics","001","","29","3.828","75.9","13.8","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"735
Particle Physics","001","","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"772
High Energy Astrophysics","001","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"832
Advanced Quantum Mechanics","001","","12","3.909","75.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"848
Nonlinear Waves","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","8","",".",".",".",".",".",".",".","87.5",".",".",".","12.5",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","058","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 278 of 403",""
