"","699
004","3","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
064","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Independent Study","Course Total","4","***","","","","","","","","","","","","","","","","","","","","",""
"Research Methods","793
001","7","3.643","57.1","14.3","28.6",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"INTER-HE
498","Dept. Total","126","3.507","59.5","13.5","16.7","1.6","4.8","1.6","2.4","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","10","3.700","50.0","40.0","10.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","28","3.475","53.6","10.7","28.6","3.6",".","3.6",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","76","3.498","64.5","10.5","11.8","1.3","6.6","1.3","3.9","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","114","3.510","60.5","13.2","15.8","1.8","4.4","1.8","2.6","",".","",".",".","",".","",".","",".",".",".","."
"Special","","5","3.192","40.0","20.0","20.0",".","20.0",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","7","3.643","57.1","14.3","28.6",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","126","3.507","59.5","13.5","16.7","1.6","4.8","1.6","2.4","",".","",".",".","",".","",".","",".",".",".","."
