"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"","999
071","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
091","3","***","","","","","","","","","",".",".","",".",".",".",".","."
"Reading & Research","Course Total","29","3.719","41.4",".",".",".","3.4",".",".","51.7",".",".","",".",".",".",".","3.4","."
"SOC
900","Dept. Total","3175","3.219","30.4","22.4","19.1","9.6","8.0","1.9","1.1","6.4","0.1","0.3","",".","0.0","0.3","0.1","0.2","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","341","2.853","15.5","19.6","25.5","16.1","14.7","5.6","1.5","0.6","0.3","0.3","",".",".",".","0.3",".","."
"Sophomore","","629","3.182","28.6","22.3","25.3","10.7","10.3","1.4","0.5","0.2",".","0.5","",".",".","0.2",".",".","0.2"
"Junior","","860","3.241","30.5","27.0","21.4","9.0","9.0","1.6","1.2","0.2",".","0.1","",".",".",".",".","0.1","."
"Senior","","908","3.228","31.2","25.4","18.8","11.1","6.5","2.1","1.8","1.9","0.1","0.6","",".",".","0.3","0.1","0.1","."
"Undergraduates","","2738","3.176","28.4","24.5","22.0","11.0","9.2","2.2","1.2","0.8","0.1","0.4","",".",".","0.1","0.1","0.1","0.0"
"Special","","14","3.444","57.1","14.3","7.1","7.1","14.3",".",".",".",".",".","",".",".",".",".",".","."
"Graduate","","422","3.830","42.2","9.5","1.4","0.7","0.2",".",".","42.9",".",".","",".","0.2","1.7",".","1.2","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","3175","3.219","30.4","22.4","19.1","9.6","8.0","1.9","1.1","6.4","0.1","0.3","",".","0.0","0.3","0.1","0.2","0.0"
