"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"699","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","088","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","131","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","152","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","188","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","48","3.979","91.7",".","2.1",".",".",".",".","4.2",".",".",".",".","2.1",".",".","."
"714
Research & Eval Paradigms","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"748
Teaching-Learning: Adult Ed","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"755
Diverse Lrnrs:Rdg Recv Prac II","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"756
Tch Tchrs:Rdg Rcov Leadrshp II","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"760
Sex/Gender-Related Iss in C&I","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"801
Interactv Media&Comp-Curric","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"811
Instruction of Mathematics","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"829
Prosmr-Amer Curric Theory","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"841
Educ Role-Fam-Early Child Dev","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"844
Culturally Relevnt Pedagogy","001","","25","4.000","92.0",".",".",".",".",".",".",".",".",".",".",".","8.0",".",".","."
"900
Smr-Educational Technology","001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"910
Smr-Curriculum Development","001","","20","3.971","80.0","5.0",".",".",".",".",".",".",".",".",".",".","15.0",".",".","."
"916
Spec Topics:Rsch&Eval-C&I","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"942
Smr-Rsch on Math Education","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"946
Past Perspectives-Music Educ","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"949
Smr-Study Tchr Ed: Prof Devel","001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"975","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"975","002","","7","3.917","71.4","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"975","003","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"975","004","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Seminar","Course Total","","37","3.985","94.6","2.7",".",".",".",".",".",".",".",".",".",".","2.7",".",".","."
"976
Seminar-Reading","002","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
