"COMPARATIVE BIOSCIENCES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","","","",""
"Vertebrate Physiology","404","001","","17","3.147","29.4","11.8","29.4","17.6","11.8",".",".",".",".",".",".",".",".",".",".","."
"Molec & Metabolic Basis of Med","502","001","","81","3.191","30.9","12.3","39.5","3.7","11.1","2.5",".",".",".",".",".",".",".",".",".","."
"Vet Neuroanatomy&Neurophys","505","001","","81","3.043","27.2","13.6","28.4","7.4","21.0","2.5",".",".",".",".",".",".",".",".",".","."
"Veterinary Physiology B","506","001","","81","3.574","38.3","42.0","17.3","1.2","1.2",".",".",".",".",".",".",".",".",".",".","."
"Anat-Lrge Domestic Animals","550","001","","81","3.170","28.4","14.8","29.6","12.3","12.3","2.5",".",".",".",".",".",".",".",".",".","."
"Veterinary Toxicology","555","001","","75","2.933","13.3","18.7","36.0","10.7","18.7","2.7",".",".",".",".",".",".",".",".",".","."
"Basic & Clin Vet Therapeutics","556","001","","75","3.293","24.0","14.7","57.3","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","675","001","","80","3.044","11.3","6.3","68.8","7.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","775","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","775","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","","Course Total","","5","***","","","","","","","","","","","","","","","",""
