"","999
034","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
035","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
038","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Research","Course Total","8","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"L SC COM
120","Dept. Total","451","3.676","60.5","20.8","9.5","2.2","1.1","0.7","0.7","3.5","",".",".","",".","",".","0.7",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","43","3.512","27.9","44.2","25.6",".",".",".",".",".","",".",".","",".","",".",".",".","2.3","."
"Sophomore","","48","3.661","54.2","27.1","14.6","4.2",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","102","3.742","63.7","22.5","10.8","1.0","1.0",".",".",".","",".",".","",".","",".","1.0",".",".","."
"Senior","","172","3.609","63.4","18.6","6.4","4.1","2.3","1.7","1.7","1.7","",".",".","",".","",".",".",".",".","."
"Undergraduates","","365","3.642","58.1","23.8","11.0","2.7","1.4","0.8","0.8","0.8","",".",".","",".","",".","0.3",".","0.3","."
"Special","","5","3.700","60.0",".","20.0",".",".",".",".",".","",".",".","",".","",".","20.0",".",".","."
"Graduate","","81","3.898","71.6","8.6","2.5",".",".",".",".","16.0","",".",".","",".","",".","1.2",".",".","."
"","Dept. Total","451","3.676","60.5","20.8","9.5","2.2","1.1","0.7","0.7","3.5","",".",".","",".","",".","0.7",".","0.2","."
