"LAFOLLETTE SCHOOL PUB AFF Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","",""
"Ethics&Values-Policy Making","530
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Quant Methods-Public Policy","819
001","","43","3.523","25.6","53.5","20.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Administrative Internship","827
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Financng Elem&Secondry Educ","830
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Macroecon Pol & Int'l Fin Reg","854
001","","25","3.521","32.0","36.0","28.0",".",".",".",".",".",".",".",".",".",".",".","4.0","."
"Pol Econ-Corruptn&Good Governc","857
001","","19","3.556","21.1","63.2","10.5",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Workshop-Int'l Public Affairs","860
001","","20","3.725","45.0","55.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gov Finance-Develpng Countries","867
001","","16","3.867","68.8","25.0",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","869
001","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","869
002","","17","3.853","82.4","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Public Affairs","Course Total","","31","3.887","83.9","12.9",".","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"Public Program Evaluation","871
001","","20","3.625","50.0","35.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","873
001","","18","3.806","61.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","873
002","","23","3.773","52.2","43.5",".",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Intro to Policy Analysis","Course Total","","41","3.788","56.1","41.5",".",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"Public Management","878
001","","42","3.810","69.0","26.2","2.4","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Politics-Pov, Inequal&Soc Pol","883
001","","17","3.765","64.7","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
001","","19","3.763","52.6","47.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
002","","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Public Affairs","Course Total","","41","3.866","73.2","26.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PUB AFFR
826","Dept. Total","","326","3.730","54.6","35.6","7.1","0.6","0.3",".",".","1.2",".",".",".",".","0.3",".","0.3","."
