"TERM : 1074","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2006-2007","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","",""
"CURRICULUM AND INSTRUCTIO Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"CURRIC
Dept. Total
272","2435","3.931","70.1","3.4","1.8","0.4","0.4","0.0","",".","3.5","",".","18.7","0.1","1.0","0.6",".","0.0","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"Freshmen","3","3.500","66.7",".","33.3",".",".",".","",".",".","",".",".",".",".",".",".",".","."
"Sophomore","39","3.641","64.1","15.4","12.8","5.1",".","2.6","",".",".","",".",".",".",".",".",".",".","."
"Junior","247","3.871","64.8","6.9","4.0","1.2","0.4",".","",".",".","",".","22.7",".",".",".",".",".","."
"Senior","1402","3.933","66.9","3.4","1.6","0.3","0.5",".","",".",".","",".","27.0","0.1",".","0.1",".","0.1","."
"Undergraduates","1691","3.913","66.5","4.2","2.2","0.5","0.5","0.1","",".",".","",".","25.7","0.1",".","0.1",".","0.1","."
"Special","209","3.955","86.1","2.9","0.5",".","0.5",".","",".",".","",".","9.6",".","0.5",".",".",".","."
"Graduate","535","3.980","75.0","1.1","0.7","0.2",".",".","",".","16.1","",".","0.2",".","4.3","2.4",".",".","."
"Dept. Total","2435","3.931","70.1","3.4","1.8","0.4","0.4","0.0","",".","3.5","",".","18.7","0.1","1.0","0.6",".","0.0","."
