"LITERATURE IN TRANSLATION","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran II","202
001","51","3.618","51.0","27.5","17.6","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"19&20 C Russian Lit Tran II","204
001","71","3.721","59.2","25.4","7.0","2.8","1.4",".",".",".",".",".",".",".",".","4.2",".","."
"Masterpieces-Fr Lit & Culture","209
001","55","3.368","27.3","34.5","21.8","7.3","5.5",".",".","1.8",".",".",".",".",".",".","1.8","."
"Classical Indian Lits in Trans","212
001","13","3.500","30.8","38.5","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lits of Cent Asia in Translatn","214
001","28","3.407","35.7","35.7","17.9",".","3.6",".","3.6",".",".",".",".",".",".","3.6",".","."
"Chekhov in Translation","220
001","15","3.656","46.7","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soviet Life&Cult (1917 on)","234
001","26","3.697","65.4","26.9","3.8",".",".","3.8",".",".",".",".",".",".",".",".",".","."
"Soviet Lit in Translation","240
001","23","3.446","34.8","30.4","13.0","13.0","4.3",".",".",".",".",".",".",".","4.3",".",".","."
"Vampire in Literature and Film","248
001","104","3.505","45.2","25.0","16.3","8.7","1.9","1.0",".","1.9",".",".",".",".",".",".",".","."
"Lit:Image-Indiv Ital Renais","256
001","31","3.597","58.1","19.4","9.7","9.7","3.2",".",".",".",".",".",".",".",".",".",".","."
"Lits of Muslim Societies-Trans","257
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey-Chinese Lit in Trans","262
001","19","3.079","36.8","15.8","10.5","21.1","5.3","10.5",".",".",".",".",".",".",".",".",".","."
"Survey-Japanese Lit in Tran","264
001","23","2.955","8.7","34.8","34.8",".","4.3","13.0",".",".",".",".",".",".",".",".",".","4.3"
"German Women Writers-Tran","270
001","20","3.425","45.0","15.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Scand Lit in Tran-20th C","274
001","85","2.924","12.9","22.4","25.9","22.4","11.8",".","3.5",".",".",".",".",".",".","1.2",".","."
"In Transl:Hans C. Andersen","275
001","228","3.687","57.5","29.4","7.5","2.6","0.9","1.3",".","0.9",".",".",".",".",".",".",".","."
"SE Asian Lit in Translation","304
001","19","3.333","36.8","10.5","31.6","10.5","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"Topics in Dutch Lit in Tran","326
001","22","4.000","95.5",".",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Trans:Scand Topics in Depth","331
001","7","3.500","42.9","14.3","28.6",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Prophets of the Bible","332
001","14","3.214","28.6","21.4","21.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"In Transl:19C Scand Fiction","337
001","36","3.343","22.2","44.4","22.2","5.6",".",".","2.8",".",".",".",".",".","2.8",".",".","."
"In Trans:K Hamsun&20C Novel","338
001","8","3.438","37.5","37.5","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Kierkegaard&Scand Lit/Trans","339
001","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit in Trans-Icelandic Saga","346
001","11","2.897",".","18.2","27.3","36.4",".",".",".","18.2",".",".",".",".",".",".",".","."
"Israeli Fiction-Translation","367
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Japanese Lit","373
001","25","3.021","8.0","16.0","56.0","12.0",".","4.0",".",".",".",".",".",".",".","4.0",".","."
"Pol Lit(Tran) Mid Ages-1863","471
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"LITTRANS
551","Dept. Total","954","3.478","43.5","26.1","16.4","6.9","3.4","1.2","0.5","1.0",".",".",".",".","0.2","0.6","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","89","3.423","33.7","29.2","25.8","7.9","2.2",".",".",".",".",".",".",".",".",".","1.1","."
"Sophomore","","271","3.456","43.5","27.3","15.5","7.4","3.3","0.7","1.5",".",".",".",".",".",".","0.7",".","."
"Junior","","283","3.518","47.3","26.1","14.5","6.4","3.5","1.8",".","0.4",".",".",".",".",".",".",".","."
"Senior","","308","3.475","42.9","24.4","16.2","6.8","3.6","1.3","0.3","2.3",".",".",".",".","0.6","1.3",".","0.3"
"Undergraduates","","951","3.478","43.5","26.2","16.4","6.9","3.4","1.2","0.5","0.8",".",".",".",".","0.2","0.6","0.1","0.1"
"Special","","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Graduate","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","954","3.478","43.5","26.1","16.4","6.9","3.4","1.2","0.5","1.0",".",".",".",".","0.2","0.6","0.1","0.1"
