"CHICANA/O & LATINA/O STUDIE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","","","",""
"Intro-Comparatv Ethnic Studies","102","001","","21","3.825","66.7","23.8","4.8",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Chicana/o & Latina/o Cultrl St","210","001","","25","3.360","44.0","20.0","20.0","12.0",".",".","4.0",".",".",".",".",".",".",".",".","."
"Race, Ethnicity, and Media","347","001","","9","3.556","55.6",".","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"American West Since 1850","462","001","","28","3.270","32.1","17.9","21.4","14.3",".",".","3.6","10.7",".",".",".",".",".",".",".","."
"Sociodem Anal-Mexican Migratn","470","001","","11","3.091","18.2","27.3","27.3","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"Adv Topc-Chicana/o&Latina/o St","530","001","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".",".",".",".","11.1"
"","699","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","4","***","","","","","","","","","","","","","","","",""
