"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","","",""
"","999
059","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
067","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Work","Course Total","47","3.912","78.7","12.8","2.1",".",".",".",".","2.1","",".",".","",".","2.1","2.1",".",".","."
"HISTORY
448","Dept. Total","4219","3.348","30.5","30.3","20.2","6.3","3.4","1.1","1.2","5.1","",".",".","",".","0.9","0.5","0.2","0.3","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","220","3.319","24.5","36.4","27.3","5.9","1.8","1.4","1.4","0.5","",".",".","",".",".","0.5",".",".","0.5"
"Sophomore","","804","3.275","24.0","33.6","26.4","8.7","4.7","1.6","0.5","0.5","",".",".","",".",".",".",".",".","."
"Junior","","1089","3.293","27.0","34.8","22.3","7.1","3.9","1.3","1.8","1.3","",".",".","",".",".","0.3",".",".","0.2"
"Senior","","1645","3.369","33.1","30.9","19.6","6.3","3.4","1.0","1.3","3.6","",".",".","",".","0.1","0.2","0.2","0.2","0.1"
"Undergraduates","","3758","3.322","28.9","32.9","22.3","7.0","3.8","1.2","1.3","2.1","",".",".","",".","0.0","0.2","0.1","0.1","0.1"
"Special","","134","3.659","34.3","4.5","3.7",".",".","0.7",".","47.0","",".",".","",".",".","2.2","4.5","3.0","."
"Graduate","","320","3.832","46.6","11.6","3.1","0.6","0.3",".",".","22.5","",".",".","",".","10.9","2.8",".","1.6","."
"Prof Yr 3","","7","4.000","85.7",".",".",".",".",".",".","14.3","",".",".","",".",".",".",".",".","."
"Professionals","","7","4.000","85.7",".",".",".",".",".",".","14.3","",".",".","",".",".",".",".",".","."
"","Dept. Total","4219","3.348","30.5","30.3","20.2","6.3","3.4","1.1","1.2","5.1","",".",".","",".","0.9","0.5","0.2","0.3","0.1"
