"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
002","21","3.605","52.4","28.6",".","4.8",".","4.8",".","9.5",".",".",".",".",".",".",".","."
"","101
004","21","3.632","42.9","38.1",".","9.5",".",".",".","9.5",".",".",".",".",".",".",".","."
"","101
006","20","3.525","35.0","40.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","101
008","25","3.583","44.0","32.0","12.0","8.0",".",".",".","4.0",".",".",".",".",".",".",".","."
"","101
009","15","3.536","66.7","6.7","13.3",".",".",".","6.7",".",".",".",".",".",".",".",".","6.7"
"","101
010","11","3.722","45.5","27.3","9.1",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"","101
011","17","3.438","41.2","29.4","5.9","5.9","11.8",".",".","5.9",".",".",".",".",".",".",".","."
"","101
012","15","3.000","40.0","20.0","6.7","6.7","13.3","6.7","6.7",".",".",".",".",".",".",".",".","."
"First Semester French","Course Total","145","3.507","45.5","29.0","8.3","5.5","2.8","1.4","1.4","5.5",".",".",".",".",".",".",".","0.7"
"","102
001","15","3.267","20.0","40.0","20.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","102
002","21","2.952","9.5","28.6","33.3","19.0",".","9.5",".",".",".",".",".",".",".",".",".","."
"","102
004","11","3.455","27.3","45.5","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","19","2.947",".","36.8","31.6","15.8","15.8",".",".",".",".",".",".",".",".",".",".","."
"","102
006","19","3.029","31.6","10.5","15.8","5.3","21.1","5.3",".","5.3",".",".",".",".",".",".","5.3","."
"","102
008","19","3.132","21.1","26.3","36.8",".","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"","102
009","23","3.543","65.2","13.0","13.0",".","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"","102
010","18","2.556","16.7","22.2","16.7","11.1","11.1","11.1","11.1",".",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","145","3.101","24.8","26.2","23.4","9.0","9.0","4.1","2.1","0.7",".",".",".",".",".",".","0.7","."
"","203
002","21","3.119",".","38.1","52.4","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","203
003","20","3.375","35.0","35.0","15.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","203
004","12","3.227","16.7","25.0","33.3","16.7",".",".",".","8.3",".",".",".",".",".",".",".","."
"","203
005","18","3.556","55.6","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","203
007","18","3.333","22.2","33.3","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","203
008","12","2.708","8.3","16.7","25.0","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","101","3.250","23.8","27.7","30.7","11.9","3.0","2.0",".","1.0",".",".",".",".",".",".",".","."
"","204
001","21","3.571","47.6","33.3","9.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","204
002","18","3.722","50.0","44.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
004","19","3.382","26.3","26.3","26.3","10.5",".",".",".","10.5",".",".",".",".",".",".",".","."
"","204
005","18","3.361","38.9","27.8","5.6","22.2","5.6",".",".",".",".",".",".",".",".",".",".","."
"","204
006","21","3.500","38.1","33.3","14.3","4.8","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"","204
008","21","3.476","33.3","38.1","19.0","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","204
010","12","3.458","50.0","8.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","130","3.500","40.0","31.5","14.6","9.2","2.3",".",".","2.3",".",".",".",".",".",".",".","."
"","227
001","21","3.675","47.6","38.1","4.8","4.8",".",".",".","4.8",".",".",".",".",".",".",".","."
"","227
002","20","3.625","40.0","55.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","227
003","12","3.542","41.7","25.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Exploring French:Intermed Crse","Course Total","53","3.625","43.4","41.5","9.4","1.9","1.9",".",".","1.9",".",".",".",".",".",".",".","."
"","228
001","21","3.366","14.3","47.6","33.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","228
002","15","3.574","40.0","40.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","228
003","23","3.628","39.1","47.8","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
004","25","3.382","24.0","36.0","36.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","84","3.479","28.6","42.9","25.0","2.4","1.2",".",".",".",".",".",".",".",".",".",".","."
"","271
002","24","3.533","41.7","29.2","16.7","4.2","4.2",".",".","4.2",".",".",".",".",".",".",".","."
"","271
003","12","3.345","50.0","33.3",".","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"","271
004","23","3.143","8.7","30.4","43.5","13.0","4.3",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 209 of 403",""
