"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Indep Study & Research","Course Total","14","4.000","71.4",".",".",".",".",".",".","21.4",".",".",".","7.1",".",".",".","."
"COMP SCI
266","Dept. Total","1576","3.169","27.9","15.4","21.1","9.4","6.3","1.6","2.3","10.2","0.1","4.4","0.4","0.1","0.1","0.4","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","65","2.873","13.8","23.1","13.8","16.9","10.8","3.1","3.1",".",".","13.8","1.5",".",".",".",".","."
"Sophomore","","295","3.018","19.3","13.9","35.3","12.9","6.4","2.4","2.0","0.7",".","6.8","0.3",".",".",".",".","."
"Junior","","349","3.038","23.8","16.0","30.1","10.3","7.7","2.3","3.4","0.3",".","4.3","0.3",".",".","1.4",".","."
"Senior","","446","3.091","28.0","17.3","20.2","11.7","9.6","1.8","3.4","0.9",".","5.4","0.7",".","0.2","0.4","0.4","."
"Undergraduates","","1155","3.046","23.7","16.4","26.7","11.9","8.3","2.2","3.0","0.6",".","5.9","0.5",".","0.1","0.6","0.2","."
"Special","","37","3.216","37.8","18.9","13.5","13.5","5.4","2.7","2.7","5.4",".",".",".",".",".",".",".","."
"Graduate","","383","3.749","39.4","12.0","5.2","1.6","0.5",".",".","39.7","0.3","0.3",".","0.5",".",".","0.5","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","1576","3.169","27.9","15.4","21.1","9.4","6.3","1.6","2.3","10.2","0.1","4.4","0.4","0.1","0.1","0.4","0.3","."
