"Art-Exceptional Education","570
001","","19","3.861","73.7","15.8","5.3",".","",".",".","",".","",".",".","",".",".","",".","",".",".","5.3","."
"Independent Reading & Rsch","699
061","","5","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Seminar in Art Education","951
001","","7","3.917","71.4","14.3",".",".","",".",".","",".","","14.3",".","",".",".","",".","",".",".",".","."
"Adv Independent Reading","999
059","","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"ART ED
176","Dept. Total","","71","3.967","87.3","5.6","1.4",".","",".","",".","",".","1.4","",".",".","",".","",".","2.8",".","1.4","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","","45","3.978","95.6","2.2","2.2",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","","46","3.978","95.7","2.2","2.2",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","","","16","3.967","75.0","6.3",".",".","",".","",".","",".","6.3","",".",".","",".","",".","6.3",".","6.3","."
"Graduate","","","9","3.875","66.7","22.2",".",".","",".","",".","",".",".","",".",".","",".","",".","11.1",".",".","."
"","Dept. Total","","71","3.967","87.3","5.6","1.4",".","",".","",".","",".","1.4","",".",".","",".","",".","2.8",".","1.4","."
