"ENGR MECHANICS & ASTRONA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","221","2.932","29.4","4.5","35.7","2.7","20.4","5.0","2.3",".",".",".",".",".",".",".",".","."
"","002
201","79","2.690","15.2","1.3","45.6","5.1","25.3","3.8","3.8",".",".",".",".",".",".",".",".","."
"Statics","Course Total","300","2.868","25.7","3.7","38.3","3.3","21.7","4.7","2.7",".",".",".",".",".",".",".",".","."
"","202
001","68","2.860","17.6","19.1","30.9","11.8","8.8","8.8","2.9",".",".",".",".",".",".",".",".","."
"","202
002","35","2.700","14.3","20.0","25.7","17.1","5.7","11.4","5.7",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","103","2.806","16.5","19.4","29.1","13.6","7.8","9.7","3.9",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","303
001","72","2.924","15.3","22.2","33.3","12.5","9.7","2.8","4.2",".",".",".",".",".",".",".",".","."
"","307
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
002","10","3.600","50.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
005","10","3.800","80.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","307
006","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
007","6","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","49","3.684","59.2","22.4","14.3","4.1",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Finite Elements","405
001","33","3.439","30.3","27.3","42.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","471
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","471
002","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Problem Solving-Engrs","Course Total","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors in Research","489
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Composite Materials","508
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Exp Vib & Dynamic Sys Anal","540
001","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineering Analysis II","548
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Astrodynamics","550
001","33","3.470","36.4","24.2","36.4","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Design Project","569
001","25","3.680","80.0",".",".","16.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","599
002","25","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","599
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
040","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","599
041","15","",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".",".",".","."
"Independent Study","Course Total","64","3.950","12.5","1.6",".",".",".",".",".","84.4","1.6",".",".",".",".",".",".","."
"","601
001","17","3.676","35.3","64.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","7","3.429","42.9","28.6","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","601
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics: Engr Mech","Course Total","29","3.625","41.4","44.8","6.9",".","3.4",".",".","3.4",".",".",".",".",".",".",".","."
"Adv Mech Testing-Materials","611
001","20","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Micro- and Nanoscale Mechanics","615
001","13","3.346","30.8","30.8","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Continua","622
001","9","3.222","22.2","22.2","44.4",".","11.1",".",".",".",".",".",".",".",".",".",".","."
