"","991
004","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"","991
009","3","***","","","","","","","","","","",".",".",".",".",".",".","."
"","991
010","3","***","","","","","","","","","","",".",".",".",".",".",".","."
"Linguistc&Germanic Philolgy","Course Total","10","",".",".",".",".",".",".",".","100.0","",".",".",".",".",".",".",".","."
"GERMAN
424","Dept. Total","682","3.577","53.7","18.8","16.0","2.5","2.9","0.9","0.6","3.2","",".","0.1",".","0.9","0.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","56","3.502","50.0","14.3","28.6","3.6","1.8","1.8",".",".","",".",".",".",".",".",".",".","."
"Sophomore","","156","3.534","48.1","24.4","21.2","1.9","3.2","0.6","0.6",".","",".",".",".",".",".",".",".","."
"Junior","","155","3.581","51.0","25.2","17.4","1.9","3.9","0.6",".",".","",".",".",".",".",".",".",".","."
"Senior","","166","3.446","52.4","15.7","18.1","3.6","4.8","1.8","1.8","1.8","",".",".",".",".",".",".",".","."
"Undergraduates","","533","3.518","50.5","20.8","19.9","2.6","3.8","1.1","0.8","0.6","",".",".",".",".",".",".",".","."
"Special","","19","3.831","68.4","21.1",".","5.3",".",".",".","5.3","",".",".",".",".",".",".",".","."
"Graduate","","129","3.874","64.3","10.1","2.3","1.6",".",".",".","14.0","",".","0.8",".","4.7","2.3",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"","Dept. Total","682","3.577","53.7","18.8","16.0","2.5","2.9","0.9","0.6","3.2","",".","0.1",".","0.9","0.4",".",".","."
