"","990
031","3","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
033","1","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
034","2","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"Research","Course Total","42","",".",".",".",".",".",".",".","100.0","",".",".",".","",".","",".",".",".","."
"ATM OCN
640","Dept. Total","1090","3.258","32.6","19.4","20.9","8.1","5.7","3.1","0.7","4.6","",".","4.8",".","",".","",".",".",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","145","3.076","27.6","17.9","27.6","12.4","6.9","6.2","1.4",".","",".",".",".","",".","",".",".",".","."
"Sophomore","","364","3.261","34.9","19.5","26.4","9.9","5.8","3.3","0.3",".","",".",".",".","",".","",".",".",".","."
"Junior","","180","3.220","30.0","24.4","23.9","9.4","8.3","1.7","1.7",".","",".",".",".","",".","",".",".",".","0.6"
"Senior","","224","3.258","39.7","19.2","17.9","7.1","6.7","4.5","0.9","0.9","",".","3.1",".","",".","",".",".",".","."
"Undergraduates","","913","3.222","34.0","20.2","24.0","9.5","6.7","3.7","0.9","0.2","",".","0.8",".","",".","",".",".",".","0.1"
"Special","","5","3.038","20.0","20.0","20.0",".","20.0",".",".","20.0","",".",".",".","",".","",".",".",".","."
"Graduate","","172","3.700","25.6","15.7","4.7","0.6",".",".",".","27.3","",".","26.2",".","",".","",".",".",".","."
"","Dept. Total","1090","3.258","32.6","19.4","20.9","8.1","5.7","3.1","0.7","4.6","",".","4.8",".","",".","",".",".",".","0.1"
