"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"Reading and Research","Course Total","45","",".",".",".",".",".",".",".","93.3",".",".",".","4.4",".",".","2.2","."
"Smr-Applied Mathematics","991
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"MATH
600","Dept. Total","5186","2.763","26.0","10.4","21.0","10.1","18.2","7.4","4.6","1.1","0.0","0.7",".","0.0","0.0","0.1","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1352","2.602","18.5","8.5","22.3","13.5","21.1","9.4","5.5",".",".","1.1",".",".",".",".",".","0.1"
"Sophomore","","1809","2.704","21.0","11.7","22.1","10.7","20.7","7.8","4.8","0.1","0.1","0.9",".",".",".","0.1",".","0.1"
"Junior","","989","2.790","25.7","11.3","24.6","9.3","16.3","6.8","5.2",".","0.1","0.4",".",".","0.1","0.2","0.1","."
"Senior","","599","2.787","27.4","11.9","19.7","7.7","18.9","7.7","4.8","1.7",".",".",".",".","0.2","0.2",".","."
"Undergraduates","","4749","2.697","22.0","10.7","22.4","10.8","19.7","8.0","5.1","0.2","0.0","0.8",".",".","0.0","0.1","0.0","0.0"
"Special","","42","3.287","52.4","11.9","9.5","7.1","9.5","7.1",".",".",".",".",".",".",".",".","2.4","."
"Graduate","","395","3.804","70.6","6.3","5.8","1.5","1.8","0.3",".","12.2",".",".",".","0.5",".","0.3","0.8","."
"","Dept. Total","5186","2.763","26.0","10.4","21.0","10.1","18.2","7.4","4.6","1.1","0.0","0.7",".","0.0","0.0","0.1","0.1","0.0"
