"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","157","2.702","14.0","14.6","19.1","14.0","33.1","2.5","1.9",".",".",".",".",".",".",".","0.6","."
"","100","002","163","2.653","14.1","9.8","20.2","17.8","33.1","3.1","1.8",".",".",".",".",".",".",".",".","."
"General Anthropology","","Course Total","320","2.677","14.1","12.2","19.7","15.9","33.1","2.8","1.9",".",".",".",".",".",".",".","0.3","."
"Archaeology & Prehist World","102","001","122","2.726","13.9","15.6","13.9","18.9","29.5","3.3","0.8","3.3","0.8",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","104","001","420","3.499","41.2","30.5","17.1","4.0","3.1","0.7","0.5","2.9",".",".",".",".",".",".",".","."
"Principles - Biological Anthro","105","001","133","2.818","19.5","9.0","31.6","3.0","33.1","1.5","1.5",".",".",".",".",".",".","0.8",".","."
"Principles of Archaeology","112","001","104","3.089","24.0","25.0","24.0","11.5","6.7","1.9","3.8","1.9",".",".",".",".",".","1.0",".","."
"Latin America-Introduction","260","001","20","3.211","40.0","30.0","5.0","10.0",".",".","10.0",".",".",".",".",".","5.0",".",".","."
"Africa: Introductory Survey","277","001","22","3.525","31.8","36.4","18.2","4.5",".",".",".","9.1",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300","001","54","3.389","35.2","29.6","24.1","7.4","1.9",".","1.9",".",".",".",".",".",".",".",".","."
"","301","001","26","3.120","26.9","42.3","7.7","3.8",".","11.5","3.8",".",".",".",".",".",".","3.8",".","."
"","301","002","6","3.417","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","","Course Total","32","3.177","28.1","40.6","9.4","6.3",".","9.4","3.1",".",".",".",".",".",".","3.1",".","."
"Human Skeletal Anatomy","303","001","11","3.182","36.4",".","45.5",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"Peoples&Cultures-the Arctic","317","001","19","2.983","26.3","21.1","21.1","10.5","5.3","5.3","5.3","5.3",".",".",".",".",".",".",".","."
"Peoples & Cultures-Africa","318","001","21","3.387","42.9","23.8","9.5","4.8","14.3",".",".",".",".",".",".",".",".",".",".","4.8"
"The Origins of Civilization","322","001","65","3.090","21.5","21.5","24.6","10.8","12.3","3.1",".","4.6",".",".",".",".",".","1.5",".","."
"Prehistory of Africa","333","001","23","2.727","26.1","4.3","21.7","13.0","21.7",".","8.7","4.3",".",".",".",".",".",".",".","."
"The Ancient Maya","335","001","130","3.270","36.9","19.2","23.1","6.9","6.2","3.1","1.5","2.3",".",".",".",".",".","0.8",".","."
"Intro-Prehistory&Archaeol Prin","338","001","16","3.300","31.3","31.3","18.8",".","6.3","6.3",".",".",".",".",".",".","6.3",".",".","."
"Indians-Western Great Lakes","353","001","30","3.167","13.3","13.3","46.7",".","6.7",".",".","20.0",".",".",".",".",".",".",".","."
"Elementary Quechua","362","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Quechua","364","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Jews of Central&Eastern Europe","372","001","22","3.310","40.9","18.2","18.2","9.1","13.6",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Yucatec Maya","377","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Bones for the Archaeologist","391","001","22","3.452","36.4","36.4","9.1","4.5","9.1",".",".",".",".",".",".",".",".",".","4.5","."
"Evolutionary Biology","410","001","43","3.000","37.2","7.0","18.6","11.6","11.6","11.6",".","2.3",".",".",".",".",".",".",".","."
"American Indian Women","437","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdy Abroad:Topics-Archaeol","453","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdy Abroad:Tpc-Cult Anthro","455","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","490","001","17","3.176","47.1",".","35.3",".","11.8",".","5.9",".",".",".",".",".",".",".",".","."
"","490","002","22","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Undergraduate Seminar","","Course Total","39","3.625","71.8",".","15.4",".","5.1",".","2.6",".",".",".",".",".","5.1",".",".","."
"Anthropology of Drugs","528","001","20","3.789","60.0","30.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Anthropology and Education","570","001","17","3.000","29.4","29.4","11.8","5.9",".","11.8","5.9",".",".",".",".",".",".","5.9",".","."
"Smr-Evolutionary Theory","603","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anthro-Shamanism&Occult Exper","666","001","15","4.000","93.3",".",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Public Monuments and Symbols","677","001","9","3.857","66.7",".","11.1",".",".",".",".","11.1",".",".",".",".",".","11.1",".","."
"Senior Honors Thesis","681","058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692","044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 159 of 403",""
