"ATMOSPHERIC & OCEANIC SCIE Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","","",""
"","100","001","","307","3.164","33.9","21.2","17.3","13.7","6.8","7.2",".",".",".",".",".",".",".",".",".","."
"","100","002","","201","3.143","26.4","15.9","41.3","6.5","3.0","4.0","2.0","1.0",".",".",".",".",".",".",".","."
"Weather and Climate","","Course Total","","508","3.156","30.9","19.1","26.8","10.8","5.3","5.9","0.8","0.4",".",".",".",".",".",".",".","."
"Weather and Climate","101","001","","86","3.297","39.5","18.6","18.6","10.5","11.6","1.2",".",".",".",".",".",".",".",".",".","."
"Survey of Oceanography","105","001","","44","3.023","25.0","13.6","31.8","4.5","18.2","4.5",".",".",".",".",".",".",".",".",".","2.3"
"Earth Water:Nat Sci&Hum Use","132","001","","88","3.369","47.7","22.7","12.5","8.0","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","","53","3.330","28.3","32.1","26.4","7.5","3.8","1.9",".",".",".",".",".",".",".",".",".","."
"Dynamic-Atmosphere&Ocean II","311","001","","27","2.852","14.8","11.1","33.3","11.1","29.6",".",".",".",".",".",".",".",".",".",".","."
"Physics-Atmosphere&Ocean II","340","001","","27","3.222","18.5","29.6","33.3","14.8","3.7",".",".",".",".",".",".",".",".",".",".","."
"AOS Senior Capstone Seminar","405","001","","21","3.881","76.2","23.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Radar & Satellite Meteorology","441","001","","20","3.725","65.0","25.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Syn Lab II-Mesoscale Meteor","453","001","","21","3.548","42.9","28.6","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Tropical Meteorology","522","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Atmospherc Dispersn&Pollutn","535","001","","11","3.318","36.4","18.2","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Geophys Fluid Dynamics II","611","001","","12","3.417","16.7","58.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Atmospheric Chemistry","638","001","","10","3.611","50.0","10.0","30.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Radiatn in Atmosphere&Ocean","640","001","","13","3.615","46.2","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis of Atmospheric Sys","650","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Directed Study","698","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Meterologicl Satellite Appl","745","001","","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Large-Scale Ocn-Atm Couplng","760","001","","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Meteorology","900","001","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","907","001","","31","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","907","002","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminar:Research Presentations","","Course Total","","44","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminar-Dynamics","915","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Oceanography","965","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Earth System Sci Seminar","980","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
