"SCANDINAVIAN STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"872
SCAND ST","","","","","","","","","","","","","","","","","","","",""
"102","001","","11","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"102","002","","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Norwegian","Course Total","","21","3.571","38.1","38.1","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"112
Second Semester Swedish","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"122
Second Semester Danish","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"202
Second Year Norwegian","001","","10","3.450","30.0","50.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"212
Second Year Swedish","001","","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"222
Second Year Danish","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"276
Scandinavian Life&Civiliztn","001","","63","3.355","30.2","44.4","12.7",".","6.3","3.2","1.6","1.6",".",".",".",".",".",".",".","."
"299","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"374
Scand Lit-the 20th Century","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"409
Survey-Old Norse-Icelandc Lit","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"421
Scandinavn Topics in Depth","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"424
19th C Scand Fiction","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"425
Hamsun-20 C Norwegian Novel","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"426
Kierkegaard & Scand Lit","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"431
History of Scand to 1815","001","","13","3.167","30.8","30.8","7.7",".","15.4","7.7",".",".",".",".",".",".","7.7",".",".","."
"435
The Icelandic Sagas","001","","10","3.350","30.0","50.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"443
Sami Culture,Yesterday & Today","001","","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"476
Scand Life & Civilization II","001","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501
Tal Och Skrift","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","27","3.897","85.2","7.4","3.7",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"799","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".","9.1",".",".",".","."
"910
Smr in Scand Linguistics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 293 of 403",""
