"","ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","",""
"Wkshp-Ed Leadership & Pol Anal","502","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org&Adm-School Hlth Progms","541","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Experience-Ed Admin","700","047","","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Higher & Post-Sec Ed","701","001","","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Elem & Sec Educ Admin","702","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Govern&Admin-Coll&Universty","715","001","","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","725","001","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","725","002","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","","Course Total","","22","3.886","77.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Serv&Divrsty-El/Scndry","735","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Facilitating Adult Learning","742","001","","13","3.944","61.5","7.7",".",".",".",".",".","7.7",".",".",".",".","7.7",".","15.4","."
"Teaching-Learning: Adult Ed","748","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Staff Personnel Sys in Ed","785","001","","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadershp & Coord-Cont&Tech Ed","811","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Prblms-Coll&Universty Admin","815","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Rsch Methods-Ed Admin","825","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financng Elem&Secondry Educ","830","001","","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Leadershp-Inclusive Schling","835","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspcts-El & Scndry Ed","840","001","","18","3.861","83.3","5.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspects of Higher Ed","841","001","","12","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"The School Principalship","845","001","","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pro Devel&Orgniztn Learning","848","001","","23","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org Theory&Behavior in Educ","860","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Politics of Education","870","001","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ideas of Univ:Learning for 21C","881","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Rsch in Ed Admin","890","013","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-College&Universitry Adm","915","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Dissertation Rsch","925","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","002","","13","3.833","61.5","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","7.7"
"","940","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","004","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","006","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","940","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics Seminar-Educ Leadership","","Course Total","","45","3.953","86.7","8.9",".",".",".",".",".",".",".",".",".",".","2.2",".",".","2.2"
"","990","003","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","020","","8","",".",".",".",".",".",".",".","87.5",".",".",".","12.5",".",".",".","."
"","990","032","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","033","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","036","","11","",".",".",".",".",".",".",".","90.9",".",".",".","9.1",".",".",".","."
"","990","040","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","","Page 87 of 403"
