"L&S","","","","","","","","","","","","","","","","","","","",""
"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"CHEM
224","Dept. Total","5057","3.010","28.2","13.4","25.8","6.7","14.0","3.2","1.9","5.2","0.0","1.3","",".","0.2","0.0","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","828","2.851","23.1","10.6","30.2","7.7","21.1","4.8","2.4",".",".",".","",".",".",".",".",".","."
"Sophomore","","1456","3.054","29.5","12.8","29.4","6.8","16.5","3.2","1.7",".",".",".","",".",".","0.1",".",".","."
"Junior","","1215","2.969","26.9","15.0","28.4","7.8","15.6","3.7","2.6",".",".",".","",".",".",".",".","0.1","."
"Senior","","810","3.011","30.0","17.7","24.6","8.9","12.3","3.3","2.2","0.5",".",".","",".",".",".","0.4","0.1","."
"Undergraduates","","4309","2.978","27.6","13.9","28.4","7.7","16.3","3.7","2.2","0.1",".",".","",".",".","0.0","0.1","0.0","."
"Special","","61","3.304","49.2","9.8","26.2","4.9","4.9","1.6","1.6","1.6",".",".","",".",".",".",".",".","."
"Graduate","","882","3.600","38.3","7.9","7.4","0.7","0.3",".",".","36.3","0.1","7.5","",".","1.1",".",".","0.3","."
"Prof Yr 2","","2","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 3","","4","3.900","75.0","25.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 4","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","7","3.969","85.7","14.3",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","5259","3.010","29.7","12.9","24.8","6.4","13.5","3.0","1.8","6.2","0.0","1.3","",".","0.2","0.0","0.1","0.1","."
