"","HUMAN DEVEL & FAMILY STUDI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"Development of Young Child","362","001","161","3.158","28.0","26.1","22.4","5.0","13.0","1.2","2.5","1.9",".",".",".",".",".",".",".","."
"Develp: Adolescence-Old Age","363","001","210","3.159","19.5","21.0","36.2","19.0","2.4","0.5","0.5","1.0",".",".",".",".",".",".",".","."
"Rsch Meth in Hum Devel&Fam St","425","001","28","3.518","60.7","17.9","7.1","7.1","3.6",".","3.6",".",".",".",".",".",".",".",".","."
"Child Play-Development&Role","464","001","29","3.707","41.4","58.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family&Com Influences-Child","469","001","27","3.556","63.0","14.8","14.8",".",".","7.4",".",".",".",".",".",".",".",".",".","."
"Infants&Toddlers:Developmnt","470","001","32","3.806","71.9","15.6","6.3","3.1",".",".",".","3.1",".",".",".",".",".",".",".","."
"Parent-Child Relations","471","001","31","3.339","22.6","41.9","25.8",".","9.7",".",".",".",".",".",".",".",".",".",".","."
"Racial Ethnic Families in U.S.","474","001","32","3.641","65.6","15.6","15.6",".",".",".","3.1",".",".",".",".",".",".",".",".","."
"Special Topics","501","001","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","516","001","32","3.578","56.3","21.9","18.8",".",".",".","3.1",".",".",".",".",".",".",".",".","."
"","516","002","28","3.519","46.4","35.7","7.1",".",".","7.1",".","3.6",".",".",".",".",".",".",".","."
"Family Stress and Coping","","Course Total","60","3.551","51.7","28.3","13.3",".",".","3.3","1.7","1.7",".",".",".",".",".",".",".","."
"Couple Relationships","517","001","30","3.567","46.7","33.3","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"African American Families","521","001","37","3.743","70.3","18.9","5.4",".","5.4",".",".",".",".",".",".",".",".",".",".","."
"Family Perspctv-Policymakng","535","001","28","3.321","21.4","32.1","35.7","10.7",".",".",".",".",".",".",".",".",".",".",".","."
"","601","002","14","3.900","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","011","9","3.942","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","601","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","25","3.922","88.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Parent Educ & Support Programs","650","001","15","3.733","73.3","13.3","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Adv Study of Young Child","662","001","28","3.204","21.4","32.1","28.6",".","10.7","3.6",".",".",".",".",".",".","3.6",".",".","."
"Developmental & Fam Assessment","663","001","26","3.577","50.0","23.1","19.2","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","699","006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","033","6","3.438","66.7",".","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","","Course Total","22","3.563","81.8",".","9.1",".","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725","001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Youth Devel-Community & Policy","736","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","766","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","766","002","8","3.813","87.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Current Iss-Family Living","","Course Total","14","3.855","92.9",".",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Educ Role-Fam-Early Child Dev","841","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 141 of 403",""
